序号,运营商,充电站点标准名称,服务类型,区县具体地址,快充接口数,慢充接口数,地域范围,所在地类型,source_row,geocode_query,lon_wgs84,lat_wgs84,geocode_status,_lon,_lat,_status,_addr,corridor_kw_hint
22,中石油昆仑网电,汇智大厦,社会公用,海淀区学清路9号汇智大厦进门右转,2,0,四环至五环,写字楼办公区,3,北京市海淀区学清路9号汇智大厦进门右转,116.344833,40.018511,ok,116.344833,40.018511,ok,海淀区学清路9号汇智大厦进门右转,
81,北京电力公司,北京市海淀区京仪大厦地面公共充电站,社会公用,北京市海淀区大钟寺东路9号京仪宾馆地面停车场,2,0,四环至五环,工业园区/厂区,6,北京市海淀区大钟寺东路9号京仪宾馆地面停车场,116.331982,39.970321,ok,116.331982,39.970321,ok,北京市海淀区大钟寺东路9号京仪宾馆地面停车场,
83,北京电力公司,北京市海淀区清华大学汽车所公共充电站,社会公用,北京市海淀区清华大学校内汽车工程系停车场,1,4,四环至五环,教育院校,7,北京市海淀区清华大学校内汽车工程系停车场,116.320793,40.0019,ok,116.320793,40.0019,ok,北京市海淀区清华大学校内汽车工程系停车场,
86,北京电力公司,北京市海淀区腾达大厦地下公共充电站,社会公用,"北京市海淀区西直门外大街168号，腾达大厦地下停车场（B1地下车库015.016.017,021-030)",5,0,二环至三环,工业园区/厂区,10,"北京市海淀区西直门外大街168号，腾达大厦地下停车场（B1地下车库015.016.017,021-030)",116.321973,39.93667,ok,116.321973,39.93667,ok,"北京市海淀区西直门外大街168号，腾达大厦地下停车场（B1地下车库015.016.017,021-030)",
105,北京电力公司,北京市海淀区翠微商场公共充电站,社会公用,北京市海淀区花园路2号翠微商场西门入口左侧,0,3,三环至四环,商业区,11,北京市海淀区花园路2号翠微商场西门入口左侧,116.345321,39.983166,ok,116.345321,39.983166,ok,北京市海淀区花园路2号翠微商场西门入口左侧,
106,北京电力公司,北京市海淀区牡丹电子集团公共充电站,社会公用,北京市海淀区花园路2号牡丹电子集团地面停车场东侧过道内,2,9,三环至四环,工业园区/厂区,12,北京市海淀区花园路2号牡丹电子集团地面停车场东侧过道内,116.345321,39.983166,ok,116.345321,39.983166,ok,北京市海淀区花园路2号牡丹电子集团地面停车场东侧过道内,
119,北京电力公司,北京市海淀区清华科技园公共充电站,社会公用,北京市海淀区中关村东路1号谷歌大厦门口,3,22,四环至五环,工业园区/厂区,14,北京市海淀区中关村东路1号谷歌大厦门口,116.324043,39.992004,ok,116.324043,39.992004,ok,北京市海淀区中关村东路1号谷歌大厦门口,
158,特来电,中科院软件园充电站,社会公用,北京市海淀区中关村南四街4号（地面）,4,5,三环至四环,科技园区,18,北京市海淀区中关村南四街4号（地面）,116.329481,39.978992,ok,116.329481,39.978992,ok,北京市海淀区中关村南四街4号（地面）,
163,依威能源,数码大厦,社会公用,北京市海淀区中关村南大街2号院,0,9,二环至三环,商务办公区,19,北京市海淀区中关村南大街2号院,116.317013,39.964807,ok,116.317013,39.964807,ok,北京市海淀区中关村南大街2号院,
185,特来电,首都体育学院地上充电站,社会公用,北京市海淀北三环西路11,6,3,三环至四环,科研院所,25,北京市海淀北三环西路11,116.341363,39.968795,ok,116.341363,39.968795,ok,北京市海淀北三环西路11,
210,星星充电,钻河中心,社会公用,海淀区交大东路66号院地面及地下车库,3,15,二环至三环,写字楼办公区,27,北京市海淀区交大东路66号院地面及地下车库,116.344591,39.943534,ok,116.344591,39.943534,ok,海淀区交大东路66号院地面及地下车库,
231,中石油昆仑网电,中科院计算机技术研究所,社会公用,海淀区北四环保福寺桥,2,6,三环至四环,科技园区,28,北京市海淀区北四环保福寺桥,116.327141,39.984403,ok,116.327141,39.984403,ok,海淀区北四环保福寺桥,
240,畅的智能,北大附中,社会公用,海淀黄庄北京大学附属中学地下停车场,2,28,四环至五环,教育院校,29,北京市海淀黄庄北京大学附属中学地下停车场,116.31406,39.976053,ok,116.31406,39.976053,ok,海淀黄庄北京大学附属中学地下停车场,
243,中石油昆仑网电,海淀区中航广场地下停车场公共充电站,社会公用,海淀区北三环西路43号,3,7,三环至四环,写字楼办公区,31,北京市海淀区北三环西路43号,116.323887,39.967654,ok,116.323887,39.967654,ok,海淀区北三环西路43号,
339,北京电力公司,北京市海淀区国家图书馆公共充电站,社会公用,北京市海淀区中关村南大街33号,10,0,二环至三环,工业园区/厂区,33,北京市海淀区中关村南大街33号,116.317802,39.943094,ok,116.317802,39.943094,ok,北京市海淀区中关村南大街33号,
344,北京电力公司,北京市海淀区顺事嘉业创业园公共充电站,社会公用,北京市海淀区朱房路66号顺事嘉业创业园,4,0,五环至六环,工业园区/厂区,36,北京市海淀区朱房路66号顺事嘉业创业园,116.327973,40.025728,ok,116.327973,40.025728,ok,北京市海淀区朱房路66号顺事嘉业创业园,
357,北京电力公司,北京市海淀区用友软件园公共充电站,社会公用,北京市海淀区中科院光电技术所食堂楼停车场,8,0,五环至六环,工业园区/厂区,37,北京市海淀区中科院光电技术所食堂楼停车场,116.324299,39.981876,ok,116.324299,39.981876,ok,北京市海淀区中科院光电技术所食堂楼停车场,
360,北京电力公司,北京市海淀区中国农业科学院公共充电站,社会公用,北京市海淀区北下关街道中国农科院社区,8,0,二环至三环,教育院校,38,北京市海淀区北下关街道中国农科院社区,116.319525,39.956606,ok,116.319525,39.956606,ok,北京市海淀区北下关街道中国农科院社区,
380,北京电力公司,北京市海淀区铁科嘉苑饭店公共充电站,社会公用,北京市海淀区大柳树路6号铁科嘉苑饭店停车场,3,0,二环至三环,酒店宾馆,39,北京市海淀区大柳树路6号铁科嘉苑饭店停车场,116.330309,39.952183,ok,116.330309,39.952183,ok,北京市海淀区大柳树路6号铁科嘉苑饭店停车场,
382,北京电力公司,北京市海淀区中科院自动化所院外公共充电站,社会公用,北京市海淀区中关村东路95号中科院自动化所院外停车场,2,0,三环至四环,教育院校,40,北京市海淀区中关村东路95号中科院自动化所院外停车场,116.326876,39.978033,ok,116.326876,39.978033,ok,北京市海淀区中关村东路95号中科院自动化所院外停车场,
452,华商三优,海淀区大钟寺家居广场优易充小站,社会公用,海淀区北三环西路蓝景丽家大钟寺家居广场南,2,0,三环至四环,其他,50,北京市海淀区北三环西路蓝景丽家大钟寺家居广场南,116.333273,39.96541,ok,116.333273,39.96541,ok,海淀区北三环西路蓝景丽家大钟寺家居广场南,
453,华商三优,海淀区节能大厦优易充小站,社会公用,海淀区西直门北大街道路东侧节能大厦门前,2,0,二环至三环,其他,51,北京市海淀区西直门北大街道路东侧节能大厦门前,116.350757,39.949739,ok,116.350757,39.949739,ok,海淀区西直门北大街道路东侧节能大厦门前,
456,华商三优,海淀区北京邮电大学优易充小站,社会公用,海淀区北太平庄学院南路道路北京邮电大学旁,2,0,二环至三环,其他,53,北京市海淀区北太平庄学院南路道路北京邮电大学旁,116.351898,39.960186,ok,116.351898,39.960186,ok,海淀区北太平庄学院南路道路北京邮电大学旁,
467,中石油昆仑网电,方圆大厦,社会公用,海淀区中关村南大街甲56号地下停车场,3,3,二环至三环,商务办公区,54,北京市海淀区中关村南大街甲56号地下停车场,116.323521,39.938062,ok,116.323521,39.938062,ok,海淀区中关村南大街甲56号地下停车场,
722,中石油昆仑网电,海淀区京宝行地上公共充电站,社会公用,北京市海淀区学院路34号,0,1,四环至五环,车企4S店,64,北京市海淀区学院路34号,116.346039,39.98627,ok,116.346039,39.98627,ok,北京市海淀区学院路34号,
902,北京电力公司,北京市海淀区中科院物理所北院公共充电站,社会公用,北京市海淀区中关村南三街8号中科院物理所北院停车场,14,2,三环至四环,教育院校,71,北京市海淀区中关村南三街8号中科院物理所北院停车场,116.324299,39.981876,ok,116.324299,39.981876,ok,北京市海淀区中关村南三街8号中科院物理所北院停车场,
