机构名称,地址,邮政编码,区县代码,区县名称,经济类型名称,机构管理名称,source_row,geocode_query,lon_wgs84,lat_wgs84,geocode_status,_lon,_lat,_status,_addr,corridor_kw_hint
北京大学医学部社区卫生服务中心,北京市海淀区学院路38号,100191,110108,海淀区,国有全资,非营利性医疗机构,1,北京市海淀区学院路38号,116.351698,39.983387,ok,116.351698,39.983387,ok,北京市海淀区学院路38号,
北京航空航天大学社区卫生服务中心（北京航空航天大学医院）,北京市海淀区学院路37号,100191,110108,海淀区,国有全资,非营利性医疗机构,2,北京市海淀区学院路37号,116.344749,39.979269,ok,116.344749,39.979269,ok,北京市海淀区学院路37号,
北京交通大学社区卫生服务中心（北京交通大学医院）,北京市海淀区西直门外上园村3号,100044,110108,海淀区,国有全资,非营利性医疗机构,3,北京市海淀区西直门外上园村3号,116.335963,39.949875,ok,116.335963,39.949875,ok,北京市海淀区西直门外上园村3号,
北京科技大学社区卫生服务中心（北京科技大学医院）,海淀区学院路30号,100083,110108,海淀区,国有全资,非营利性医疗机构,4,北京市海淀区学院路30号,116.358721,39.988013,ok,116.358721,39.988013,ok,海淀区学院路30号,
北京林业大学社区卫生服务中心（北京林业大学医院）,北京市海淀区清华东路35号,100083,110108,海淀区,国有全资,非营利性医疗机构,6,北京市海淀区清华东路35号,116.339121,40.001829,ok,116.339121,40.001829,ok,北京市海淀区清华东路35号,
北京师范大学社区卫生服务中心（北京师范大学医院）,北京市海淀区新街口外大街19号,100875,110108,海淀区,国有全资,非营利性医疗机构,7,北京市海淀区新街口外大街19号,116.360081,39.960195,ok,116.360081,39.960195,ok,北京市海淀区新街口外大街19号,
北京市海淀区北太平庄街道明光村社区卫生服务站,海淀区明光村小区19号楼1号,100088,110108,海淀区,集体全资,非营利性医疗机构,14,北京市海淀区明光村小区19号楼1号,116.34796,39.954063,ok,116.34796,39.954063,ok,海淀区明光村小区19号楼1号,
北京市海淀区北太平庄街道太月园社区卫生服务站,海淀区太月园小区10号楼地下一层,100088,110108,海淀区,国有全资,非营利性医疗机构,15,北京市海淀区太月园小区10号楼地下一层,116.340065,39.971952,ok,116.340065,39.971952,ok,海淀区太月园小区10号楼地下一层,
北京市海淀区北太平庄街道冶建院社区卫生服务站,北京市海淀区西土城路31号,100088,110108,海淀区,国有全资,非营利性医疗机构,16,北京市海淀区西土城路31号,116.346493,39.962008,ok,116.346493,39.962008,ok,北京市海淀区西土城路31号,
北京市海淀区北太平庄街道有色金属研究总院社区卫生服务站,北京市海淀区新街口外大街3号,100088,110108,海淀区,国有全资,非营利性医疗机构,17,北京市海淀区新街口外大街3号,116.363405,39.964581,ok,116.363405,39.964581,ok,北京市海淀区新街口外大街3号,
北京市海淀区北太平庄社区卫生服务中心（北京市海淀区北太平庄医院）,北京市海淀区文慧园6号楼,100088,110108,海淀区,国有全资,非营利性医疗机构,18,北京市海淀区文慧园6号楼,116.357077,39.94942,ok,116.357077,39.94942,ok,北京市海淀区文慧园6号楼,
北京市海淀区北下关街道动物园社区卫生服务站,北京市海淀区北下关西外大街太平庄动物园家委会,100081,110108,海淀区,国有全资,非营利性医疗机构,19,北京市海淀区北下关西外大街太平庄动物园家委会,116.350922,39.95053,ok,116.350922,39.95053,ok,北京市海淀区北下关西外大街太平庄动物园家委会,
北京市海淀区北下关街道钢研社区卫生服务站,北京市海淀区高粱斜街13号院内二层小楼,100081,110108,海淀区,国有全资,非营利性医疗机构,20,北京市海淀区高粱斜街13号院内二层小楼,116.339783,39.943886,ok,116.339783,39.943886,ok,北京市海淀区高粱斜街13号院内二层小楼,
