区,幼儿园名称,办园性质,举办者,幼儿园地址,source_row,geocode_query,lon_wgs84,lat_wgs84,geocode_status,_lon,_lat,_status,_addr,corridor_kw_hint
海淀区,北京明天幼稚集团,教育部门,地级教育部门,北京市海淀区迎春园甲7号,4,北京市海淀区迎春园甲7号,116.354225,39.977537,ok,116.354225,39.977537,ok,北京市海淀区迎春园甲7号,
海淀区,北京明天幼稚集团一幼塔院园,教育部门,地级教育部门,北京市海淀区塔院小区迎春园甲7号,5,北京市海淀区塔院小区迎春园甲7号,116.354225,39.977537,ok,116.354225,39.977537,ok,北京市海淀区塔院小区迎春园甲7号,
海淀区,北京明天幼稚集团二幼双榆树园,教育部门,地级教育部门,北京市海淀区双榆树东里36号,6,北京市海淀区双榆树东里36号,116.320673,39.967539,ok,116.320673,39.967539,ok,北京市海淀区双榆树东里36号,
海淀区,北京明天幼稚集团二幼南区园,教育部门,地级教育部门,北京市海淀区双榆树南里1号,7,北京市海淀区双榆树南里1号,116.323455,39.964146,ok,116.323455,39.964146,ok,北京市海淀区双榆树南里1号,
海淀区,北京明天幼稚集团三幼学院路园,教育部门,地级教育部门,北京市海淀区蓟门里小区明天三幼学院路园,9,北京市海淀区蓟门里小区明天三幼学院路园,116.34712,39.990709,ok,116.34712,39.990709,ok,北京市海淀区蓟门里小区明天三幼学院路园,
海淀区,北京明天幼稚集团四幼知春里园,教育部门,地级教育部门,北京市海淀区双榆树北路63号,10,北京市海淀区双榆树北路63号,116.314558,39.973076,ok,116.314558,39.973076,ok,北京市海淀区双榆树北路63号,
海淀区,北京明天幼稚集团五幼东升园,教育部门,地级教育部门,北京市海淀区五道口东升园公寓5号楼,12,北京市海淀区五道口东升园公寓5号楼,116.32999,39.98876,ok,116.32999,39.98876,ok,北京市海淀区五道口东升园公寓5号楼,
海淀区,北京林业大学幼儿园,事业单位,事业单位,海淀区清华东路35号,25,北京市海淀区清华东路35号,116.339121,40.001829,ok,116.339121,40.001829,ok,海淀区清华东路35号,
海淀区,北京市海淀区中关村街道第一幼儿园,集体,集体,北京市海淀区中关村北一街甲十三楼,26,北京市海淀区中关村北一街甲十三楼,116.317001,39.984861,ok,116.317001,39.984861,ok,北京市海淀区中关村北一街甲十三楼,
海淀区,北京市海淀区本真幼儿园,民办,民办,北京市海淀区学院路二里庄小区内,27,北京市海淀区学院路二里庄小区内,116.361673,39.993973,ok,116.361673,39.993973,ok,北京市海淀区学院路二里庄小区内,
海淀区,北京邮电大学幼儿园,事业单位,事业单位,北京市海淀区西土城路10号,28,北京市海淀区西土城路10号,116.351734,39.960729,ok,116.351734,39.960729,ok,北京市海淀区西土城路10号,
海淀区,北京市海淀区现代睿智融合幼儿园,民办,民办,北京市海淀区知春路罗庄西里7号楼现代艺术幼儿园,29,北京市海淀区知春路罗庄西里7号楼现代艺术幼儿园,116.338445,39.972175,ok,116.338445,39.972175,ok,北京市海淀区知春路罗庄西里7号楼现代艺术幼儿园,
海淀区,北京市海淀区北太平庄街道蓟门里幼儿园,集体,集体,北京市海淀区学院路蓟门里小区甲一号,34,北京市海淀区学院路蓟门里小区甲一号,116.344611,39.96834,ok,116.344611,39.96834,ok,北京市海淀区学院路蓟门里小区甲一号,
海淀区,中国农业大学东校区幼儿园,事业单位,事业单位,海淀区清华东路17号,39,北京市海淀区清华东路17号,116.350795,40.00322,ok,116.350795,40.00322,ok,海淀区清华东路17号,
海淀区,北京语言大学幼儿园,事业单位,事业单位,北京市海淀区学院路15号,44,北京市海淀区学院路15号,116.350306,39.997814,ok,116.350306,39.997814,ok,北京市海淀区学院路15号,
海淀区,北京市海淀区长河湾汇佳幼儿园,民办,民办,北京市海淀区高粱桥斜街59号长河湾小区,46,北京市海淀区高粱桥斜街59号长河湾小区,116.343194,39.942525,ok,116.343194,39.942525,ok,北京市海淀区高粱桥斜街59号长河湾小区,
海淀区,北京交通大学幼儿园,事业单位,事业单位,北京市海淀区高粱桥斜街44号,48,北京市海淀区高粱桥斜街44号,116.340614,39.946403,ok,116.340614,39.946403,ok,北京市海淀区高粱桥斜街44号,
海淀区,北京市海淀区中科幼教中关村实验幼儿园,民办,民办,北京市海淀区中国科学院东南小区西区甲932幢,53,北京市海淀区中国科学院东南小区西区甲932幢,116.319937,39.979205,ok,116.319937,39.979205,ok,北京市海淀区中国科学院东南小区西区甲932幢,
海淀区,北京市海淀区英才幼儿园,民办,民办,海淀区北四环中路志新村小区12号,57,北京市海淀区北四环中路志新村小区12号,116.360244,39.989824,ok,116.360244,39.989824,ok,海淀区北四环中路志新村小区12号,
海淀区,中国科学院第一幼儿园,其他部门,省级其他部门,北京市海淀区中关村科源小区24楼旁,58,北京市海淀区中关村科源小区24楼旁,116.3117,39.985995,ok,116.3117,39.985995,ok,北京市海淀区中关村科源小区24楼旁,
海淀区,北京市海淀区北太平庄街道威凯幼儿园,集体,集体,北京市海淀区北太平庄红联南村3号,60,北京市海淀区北太平庄红联南村3号,116.354633,39.947434,ok,116.354633,39.947434,ok,北京市海淀区北太平庄红联南村3号,
海淀区,中央军委机关事务管理总局红星幼儿园（花园路园）,部队,部队,海淀区北三环中路69号,61,北京市海淀区北三环中路69号,116.355989,39.967048,ok,116.355989,39.967048,ok,海淀区北三环中路69号,
