海淀区不可移动文物名录 &nbsp;&nbsp;&nbsp;
截止 2023年4月 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
海淀区共有不可移动文物 328处，其中全国重点文物保护单位22处，北京市文物保护单位29处，海淀区文物保护单位101处，文物普查登记项目176处。
序号,名称,级别,文物类型,发文单位,管理使用单位,位置,所属街镇,开放情况
1,真觉寺金刚宝座 （五塔寺塔）,全国重点文物保护单位,古建筑,北京石刻艺术博物馆 &nbsp;,北京石刻艺术博物馆 &nbsp;,五塔寺村 24号,北下关街道,景区、博物馆、酒店对外开放
2,颐和园,全国重点文物保护单位,古建筑,颐和园管理处,颐和园管理处,新建宫门路 19号,青龙桥街道,景区、博物馆、酒店对外开放
3,圆明园遗址,全国重点文物保护单位,古遗址,圆明园管理处,圆明园管理处,清华西路 28号,青龙桥街道,景区、博物馆、酒店对外开放
4,觉生寺,全国重点文物保护单位,古建筑,大钟寺古钟博物馆,大钟寺古钟博物馆,北三环西路甲 31号,中关村街道,景区、博物馆、酒店对外开放
5,景泰陵,全国重点文物保护单位,古墓葬,北京卫戍区海淀第十三离职干部休养所,北京卫戍区海淀第十三离职干部休养所,香山路娘娘府 2号,青龙桥街道,未开放
6,碧云寺,全国重点文物保护单位,古建筑,香山公园管理处,香山公园管理处,香山公园北侧,香山街道,景区、博物馆、酒店对外开放
7,大慧寺,全国重点文物保护单位,古建筑,海淀区文物保护中心（博物馆）,海淀区文物保护中心（博物馆）,大慧寺路 11号,北下关街道,未开放
8,十方普觉寺,全国重点文物保护单位,古建筑,北京植物园,北京植物园,北京植物园内,香山街道,景区、博物馆、酒店对外开放
9,未名湖燕园建筑,全国重点文物保护单位,近现代重要史迹及代表性建筑,北京大学,北京大学,颐和园路 5号北京大学内,燕园街道,未开放
10,清华大学早期建筑,全国重点文物保护单位,近现代重要史迹及代表性建筑,清华大学,清华大学,清华大学校园西部,清华园街道,未开放
11,元大都城墙遗址 （海淀段）,全国重点文物保护单位,古遗址,海淀区园林绿化局,海淀区园林绿化局,西段：明光桥向北至学知路口 北段：学知路口向东至朝阳区,花园路街道,自然开放
12,大觉寺,全国重点文物保护单位,古建筑,北京西山大觉寺与团城管理处,北京西山大觉寺与团城管理处,大觉寺路 9号,苏家坨镇,景区、博物馆、酒店对外开放
13,静明园,全国重点文物保护单位,古建筑,中央警卫团,中央警卫团,玉泉山,海淀镇,未开放
14,健锐营演武厅,全国重点文物保护单位,古建筑,北京西山大觉寺与团城管理处,北京西山大觉寺与团城管理处,香山南路红旗村 1号,香山街道,景区、博物馆、酒店对外开放
15,万寿寺,全国重点文物保护单位,古建筑,北京艺术博物馆,北京艺术博物馆,万寿寺东路 119号,紫竹院街道,景区、博物馆、酒店对外开放
16,辛亥滦州起义纪念园,全国重点文物保护单位,近现代重要史迹及代表性建筑,北京老年医院,北京老年医院,温泉镇温泉路 118号（北京老年医院内）,温泉镇,自然开放
17,摩诃庵,全国重点文物保护单位,古建筑,区教委,海淀区八里庄小学,八里庄街 7号八里庄小学,八里庄街道,未开放
18,慈寿寺塔,全国重点文物保护单位,古建筑,海淀区园林绿化局,海淀区园林绿化局,海淀区西八里庄北里 3号,八里庄街道,自然开放
19,大运河 （广源闸、高梁闸）,全国重点文物保护单位,古建筑,北京市水务局城市河湖管理处、北下关街道办事处头堆社区,北京市水务局城市河湖管理处、北下关街道办事处头堆社区,南长河沿线,紫竹院街道、北下关街道,自然开放
20,醇亲王墓,全国重点文物保护单位,古墓葬,中华人民共和国商务部,中华人民共和国商务部绿化基地,七王坟路 17号,苏家坨镇,未开放
21,双清别墅,全国重点文物保护单位,近现代重要史迹及代表性建筑,香山公园管理处,香山公园管理处,香山街道买卖街 40号,香山街道,景区、博物馆、酒店对外开放
22,宋庆龄儿童科学技术馆,全国重点文物保护单位,近现代重要史迹及代表性建筑,宋庆龄基金会,宋庆龄基金会,玉渊潭八一湖南岸,羊坊店街道,景区、博物馆、酒店对外开放
23,“三·一八”烈士纪念碑 &nbsp;,北京市文物保护单位,近现代重要史迹及代表性建筑,圆明园管理处,圆明园管理处,圆明园内后湖南,青龙桥街道,景区、博物馆、酒店对外开放
24,贝家花园,北京市文物保护单位,近现代重要史迹及代表性建筑,北京大美西山文化传播有限责任公司,北京大美西山文化传播有限责任公司,苏家坨镇贝家花园路 5号,苏家坨镇,景区、博物馆、酒店对外开放
25,鹫峰地震台,北京市文物保护单位,近现代重要史迹及代表性建筑,中国地震局地球物理研究所,中国地震局地球物理研究所,苏家坨镇秀峰路 46号,苏家坨镇,未开放
26,李大钊烈士陵园,北京市文物保护单位,近现代重要史迹及代表性建筑,北京市民政局,北京市民政局 万安公墓,万安公墓内,四季青镇,未开放
27,梁启超墓,北京市文物保护单位,近现代重要史迹及代表性建筑,北京植物园,北京植物园,北京植物园内，卧佛寺东,香山街道,景区、博物馆、酒店对外开放
28,孙岳墓,北京市文物保护单位,近现代重要史迹及代表性建筑,北京老年医院,北京老年医院,温泉路 118号北京老年医院内,温泉镇,未开放
29,承泽园,北京市文物保护单位,古建筑,北京大学,北京大学,海淀区挂甲屯,燕园街道,未开放
30,达园,北京市文物保护单位,古建筑,国家机关事务管理局宾馆管理中心,国家机关事务管理局宾馆管理中心,颐和园路福缘门甲 1号,青龙桥街道,未开放
31,钓鱼台与养源斋,北京市文物保护单位,古建筑,外交部钓鱼台宾馆管理局,外交部钓鱼台宾馆管理局,玉渊潭东,甘家口街道,未开放
32,定慧寺,北京市文物保护单位,古建筑,北京卫戍区海淀第 50干休所,北京卫戍区海淀第 50干休所,阜成路 66号,八里庄街道,未开放
