parcel_name,parcel_code,land_use_code,far,building_height_m,building_density_pct,green_ratio_pct,land_area_sqm,floor_area_sqm,notice_no,doc_no,notice_date,corridor,source_url,extraction_notes
海淀区清河406#商业金融项目用地,,,,,,,,,京土储挂（海）[2010]058号,,2010-05-26,yes,,列表中无 ggzyfw 详情页链接，指标未提取
北京市海淀区清河路（三建平房宿舍区危改土地一级开发项目）C2商业金融用地,,,,,,,,,京土储挂（海）[2013]047号,,2013-05-28,yes,,列表中无 ggzyfw 详情页链接，指标未提取
海淀区东升乡(清河盒子房厂土地一级开发项目)R2二类居住用地项目,,,,,,,,,京土储挂（海）[2013]084号,,2013-09-25,yes,,列表中无 ggzyfw 详情页链接，指标未提取
北京市海淀区四道口地区I地块F1住宅混合公建用地,,,,,,,,,京土储挂（海）[2017]067号,,2017-09-01,yes,,列表中无 ggzyfw 详情页链接，指标未提取
北京市海淀区清河安宁庄1820-618A等地块R2二类居住用地、A8社区综合服务设施用地、S32公交场站设施用地、U17邮政设施用地,,,,,,,,,京土储挂（海）[2018]052号,,,yes,,列表中无 ggzyfw 详情页链接，指标未提取
北京市海淀区学院路北端A、B、C、J地块B4综合性商业金融服务业用地、B23研发设计用地,,,,,,,,,京土储挂（海）[2019]034号,,,yes,,列表中无 ggzyfw 详情页链接，指标未提取
北京市海淀区安宁庄东路1号1820-618B、1820-619B、1820-624A、1820-622地块R2二类居住用地、A33基础教育用地,,,,,,,,,京土储挂（海）[2019]056号,,,yes,,列表中无 ggzyfw 详情页链接，指标未提取
北京市海淀区学院路北端A、B、C、J地块B4综合性商业金融服务业用地、 B23研发设计用地,A地块,B4,5,80,40,30,25612.778,128064,京土储挂（海）[2023]073号,2018规土（海）条供字0001号,2023-12-19,yes,https://ggzyfw.beijing.gov.cn/zpgcrgg/20231219/4281039.html,tesseract OCR（chi_sim）按 6 列行解析，可能有识别误差
北京市海淀区学院路北端A、B、C、J地块B4综合性商业金融服务业用地、 B23研发设计用地,B地块,B23,3.5,80,35,35,16000,56000,京土储挂（海）[2023]073号,2018规土（海）条供字0001号,2023-12-19,yes,https://ggzyfw.beijing.gov.cn/zpgcrgg/20231219/4281039.html,tesseract OCR（chi_sim）按 6 列行解析，可能有识别误差
北京市海淀区学院路北端A、B、C、J地块B4综合性商业金融服务业用地、 B23研发设计用地,C地块,B23,3.5,80,35,35,14800,51800,京土储挂（海）[2023]073号,2018规土（海）条供字0001号,2023-12-19,yes,https://ggzyfw.beijing.gov.cn/zpgcrgg/20231219/4281039.html,tesseract OCR（chi_sim）按 6 列行解析，可能有识别误差
北京市海淀区学院路北端A、B、C、J地块B4综合性商业金融服务业用地、 B23研发设计用地,J地块,B23,3.5,80,45,35,14188.287,49659,京土储挂（海）[2023]073号,2018规土（海）条供字0001号,2023-12-19,yes,https://ggzyfw.beijing.gov.cn/zpgcrgg/20231219/4281039.html,tesseract OCR（chi_sim）按 6 列行解析，可能有识别误差；用地性质 B23（规划条件 OCR 将 B23 误识别为 823，依挂牌文件“B23 研发设计用地”校正）
北京市海淀区清河站北-安宁庄综合开发地块综合性商业金融服务业用地,清河站北-安宁庄综合开发地块,B4,3.2,60,,10,78101.46,249924.672,京土储挂（海）[2024]015号,京规自（海）供审函〔2024〕0002号,2024-04-23,yes,https://ggzyfw.beijing.gov.cn/zpgcrgg/20240423/4497219.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 192pt）；地块编号列实为地块名（函中无 HD 编号）
北京市海淀区蓝景丽家收储项目HD00-1603-01、HD00-1603-03A地块 B4综合性商业金融服务业用地,HD00-1603-01,B4,2.45,60,,25,39451.455,96656.065,京土储挂（海）[2025]051号,京规自（海）供审函〔2025〕0006号,2025-12-31,yes,https://ggzyfw.beijing.gov.cn/zpgcrgg/20251231/5391270.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 192pt）；HD00-1603 为大钟寺片区；函内明确“落实大钟寺站综合型微中心管控要求”“与京张铁路遗址公园融合渗透”
北京市海淀区蓝景丽家收储项目HD00-1603-01、HD00-1603-03A地块 B4综合性商业金融服务业用地,HD00-1603-03A,B4,2.20,24,,,70.656,155.443,京土储挂（海）[2025]051号,京规自（海）供审函〔2025〕0006号,2025-12-31,yes,https://ggzyfw.beijing.gov.cn/zpgcrgg/20251231/5391270.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 192pt）；HD00-1603 为大钟寺片区；函内明确“落实大钟寺站综合型微中心管控要求”“与京张铁路遗址公园融合渗透”
北京市海淀区五塔寺地区棚户区改造和环境整治项目HD00-2002-10地块B4综合性商业金融服务业用地,HD00-2002-10,B4,4.20,45,,10,15563.385,65366.217,京土储挂（海）[2026]001号,京规自（海）供审函〔2025〕0004号,2026-01-08,yes,https://ggzyfw.beijing.gov.cn/zpgcrgg/20260108/5398628.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 177pt）
北京市海淀区海淀北部中关村翠湖科技园B地块土地一级开发项目HD00-0305-0024地块二类城镇住宅用地,HD0003050024,R2,,,,,25268.17,45482.71,京土储挂（海）[2024]003号,京规自（海）供审函〔2023〕0004号,2024-01-15,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20240115/4296625.html,pdftotext 标签直读；地块编号按公告标题校正为 HD0003050024
北京市海淀区中关村翠湖科技园A1地块HD00-0302-0175、6008地块F3其他类多功能用地、B23研发设计用地,HD00-0302-,F3,1.0,,,30,6900,6900,京土储挂（海）[2024]008号,京规自（海）供审函〔2023〕0002号,2024-02-07,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20240207/4424796.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 239pt）；函内地块编号解析不完整（函件同时列示多宗地块），需对照函件原表复核
北京市海淀区中关村翠湖科技园A1地块HD00-0302-0175、6008地块F3其他类多功能用地、B23研发设计用地,HD00-0302-,B23,1.6,,,30,30755.61,49208.976,京土储挂（海）[2024]008号,京规自（海）供审函〔2023〕0002号,2024-02-07,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20240207/4424796.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 239pt）；函内地块编号解析不完整（函件同时列示多宗地块），需对照函件原表复核
北京市海淀区温泉镇中心区F16地块0901商业用地,F16,,1.0,15,,30,,8286.488,京土储挂（海）[2024]014号,京规自（海）供审函〔2023〕0003号,2024-04-23,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20240423/4497229.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 149pt）
北京市海淀区西北旺镇永丰产业基地（新）0411街区HD00-0411-0055、0058、0064、0072地块二类城镇住宅用地、商业服务业用地/地面公共交通场站用地,HD0004110055,,,,,,89529.8,222463.3,京土储挂（海）[2024]016号,京规自（海）供审函〔2024〕0003号,2024-04-30,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20240430/4508231.html,pdftotext 标签直读；地块编号按公告标题校正为 HD0004110055
北京市海淀区西北旺镇永丰产业基地（新）H地块HD00-0401-0120、0132、0162地块二类城镇住宅用地、零售商业用地,HD0004010120,,,,,,85584.572,162894.59,京土储挂（海）[2024]026号,京规自（海）供审函〔2024〕0004号,2024-06-21,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20240621/4569302.html,pdftotext 标签直读；地块编号按公告标题校正为 HD0004010120
北京市海淀区功德寺棚户区改造项目HD-GDS-001地块R2二类居住用地,HDGDS001,R2,2.1,30,,30,34678.620,72825.102,京土储挂（海）[2024]043号,京规自（海）供审函〔2024〕0005号,2024-09-30,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20240930/4685110.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 205pt）；地块编号按公告标题校正为 HDGDS001
北京市海淀区功德寺棚户区改造项目HD-GDS-001地块R2二类居住用地,HDGDS001,R2,2.1,30,,30,42463.441,89173.2261,京土储挂（海）[2024]043号,京规自（海）供审函〔2024〕0005号,2024-09-30,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20240930/4685110.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 205pt）；地块编号按公告标题校正为 HDGDS001
北京市海淀区功德寺棚户区改造项目HD-GDS-002地块R2二类居住用地,HDGDS002,R2,2.1,30,,30,34678.620,72825.102,京土储挂（海）[2024]044号,京规自（海）供审函〔2024〕0005号,2024-09-30,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20240930/4685115.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 205pt）；地块编号按公告标题校正为 HDGDS002
