parcel_name,parcel_code,land_use_code,far,building_height_m,building_density_pct,green_ratio_pct,land_area_sqm,floor_area_sqm,notice_no,doc_no,notice_date,corridor,source_url,extraction_notes,transaction_price,winner,transaction_date
海淀区清河406#商业金融项目用地,,,,,,,,,京土储挂（海）[2010]058号,,2010-05-26,yes,,列表中无 ggzyfw 详情页链接，指标未提取；成交：2010-07-01 成交（列表字段 chegnJiaoShiJian）,,,2010-07-01
北京市海淀区清河路（三建平房宿舍区危改土地一级开发项目）C2商业金融用地,,,,,,,,,京土储挂（海）[2013]047号,,2013-05-28,yes,,列表中无 ggzyfw 详情页链接，指标未提取；成交：2013-07-01 成交（列表字段 chegnJiaoShiJian）,,,2013-07-01
海淀区东升乡(清河盒子房厂土地一级开发项目)R2二类居住用地项目,,,,,,,,,京土储挂（海）[2013]084号,,2013-09-25,yes,,列表中无 ggzyfw 详情页链接，指标未提取；成交：2013-11-04 成交（列表字段 chegnJiaoShiJian）,,,2013-11-04
北京市海淀区四道口地区I地块F1住宅混合公建用地,,,,,,,,,京土储挂（海）[2017]067号,,2017-09-01,yes,,列表中无 ggzyfw 详情页链接，指标未提取；成交：2017-10-11 成交（列表字段 chegnJiaoShiJian）,,,2017-10-11
北京市海淀区清河安宁庄1820-618A等地块R2二类居住用地、A8社区综合服务设施用地、S32公交场站设施用地、U17邮政设施用地,,,,,,,68981.532,141907,京土储挂（海）[2018]052号,,2018-12-25,yes,http://yewu.ghzrzyw.beijing.gov.cn/zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8B%9B%EF%BC%88%E6%B5%B7%EF%BC%89%5B2018%5D052%E5%8F%B7.zip,v2 补公告级指标：招标文件载明 土地面积 68981.532㎡（其中建设用地 68981.532㎡）/建筑控制规模 141907㎡；宗地级 1820-625/626/627 见新增行（二级规划条件 2018规土（海）条供字0002号）；1820-618A 为整宗 1820-618 的 A 拆分部分，规划条件仅列整宗指标（27000㎡/2.5/67500㎡），未拆分成宗地行,,,2019-01-24
北京市海淀区学院路北端A、B、C、J地块B4综合性商业金融服务业用地、B23研发设计用地,,,,,,,70601.065,285523,京土储挂（海）[2019]034号,,2019-11-01,yes,http://yewu.ghzrzyw.beijing.gov.cn/zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8B%9B%EF%BC%88%E6%B5%B7%EF%BC%89%5B2019%5D034%E5%8F%B7.zip,v2 补公告级指标：交易文件 ZIP（zkdncmsUploadFile/tdscjywj）内招标文件载明 土地面积 70601.065㎡/建筑控制规模 285523㎡；宗地级 A/B/C/J 指标见新增行（规划条件 2018规土（海）条供字0001号，与[2023]073 公告共用同一规划条件，两版 OCR 交叉一致）,,,2019-12-02
北京市海淀区安宁庄东路1号1820-618B、1820-619B、1820-624A、1820-622地块R2二类居住用地、A33基础教育用地,,,,,,,101366.808,99865,京土储挂（海）[2019]056号,,2019-12-31,yes,http://yewu.ghzrzyw.beijing.gov.cn/zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8B%9B%EF%BC%88%E6%B5%B7%EF%BC%89%5B2019%5D056%E5%8F%B7.zip,v2 补公告级指标：招标文件载明 土地面积 101366.808㎡（其中建设用地 47115.366㎡）/建筑控制规模 99865㎡；宗地级 1820-622 见新增行（二级规划条件 2018规土（海）条供字0002号）；1820-618B/619B/624A 为整宗拆分部分，规划条件仅列整宗指标，未拆分成宗地行,,,2020-01-23
北京市海淀区学院路北端A、B、C、J地块B4综合性商业金融服务业用地、 B23研发设计用地,A地块,B4,5,80,40,30,25612.778,128064,京土储挂（海）[2023]073号,2018规土（海）条供字0001号,2023-12-19,yes,https://ggzyfw.beijing.gov.cn/zpgcrgg/20231219/4281039.html,tesseract OCR（chi_sim）按 6 列行解析，可能有识别误差；成交：2024-01-23 成交; 642000 万元（ggzyfw 历史报价末次）,642000,,2024-01-23
北京市海淀区学院路北端A、B、C、J地块B4综合性商业金融服务业用地、 B23研发设计用地,B地块,B23,3.5,80,35,35,16000,56000,京土储挂（海）[2023]073号,2018规土（海）条供字0001号,2023-12-19,yes,https://ggzyfw.beijing.gov.cn/zpgcrgg/20231219/4281039.html,tesseract OCR（chi_sim）按 6 列行解析，可能有识别误差；成交：2024-01-23 成交; 642000 万元（ggzyfw 历史报价末次）,642000,,2024-01-23
北京市海淀区学院路北端A、B、C、J地块B4综合性商业金融服务业用地、 B23研发设计用地,C地块,B23,3.5,80,35,35,14800,51800,京土储挂（海）[2023]073号,2018规土（海）条供字0001号,2023-12-19,yes,https://ggzyfw.beijing.gov.cn/zpgcrgg/20231219/4281039.html,tesseract OCR（chi_sim）按 6 列行解析，可能有识别误差；成交：2024-01-23 成交; 642000 万元（ggzyfw 历史报价末次）,642000,,2024-01-23
北京市海淀区学院路北端A、B、C、J地块B4综合性商业金融服务业用地、 B23研发设计用地,J地块,B23,3.5,80,45,35,14188.287,49659,京土储挂（海）[2023]073号,2018规土（海）条供字0001号,2023-12-19,yes,https://ggzyfw.beijing.gov.cn/zpgcrgg/20231219/4281039.html,tesseract OCR（chi_sim）按 6 列行解析，可能有识别误差；用地性质 B23（规划条件 OCR 将 B23 误识别为 823，依挂牌文件“B23 研发设计用地”校正）；成交：2024-01-23 成交; 642000 万元（ggzyfw 历史报价末次）,642000,,2024-01-23
北京市海淀区清河站北-安宁庄综合开发地块综合性商业金融服务业用地,清河站北-安宁庄综合开发地块,B4,3.2,60,,10,78101.46,249924.672,京土储挂（海）[2024]015号,京规自（海）供审函〔2024〕0002号,2024-04-23,yes,https://ggzyfw.beijing.gov.cn/zpgcrgg/20240423/4497219.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 192pt）；地块编号列实为地块名（函中无 HD 编号）；成交：2024-05-28 成交; 423000 万元（ggzyfw 历史报价末次）,423000,,2024-05-28
北京市海淀区蓝景丽家收储项目HD00-1603-01、HD00-1603-03A地块 B4综合性商业金融服务业用地,HD00-1603-01,B4,2.45,60,,25,39451.455,96656.065,京土储挂（海）[2025]051号,京规自（海）供审函〔2025〕0006号,2025-12-31,yes,https://ggzyfw.beijing.gov.cn/zpgcrgg/20251231/5391270.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 192pt）；HD00-1603 为大钟寺片区；函内明确“落实大钟寺站综合型微中心管控要求”“与京张铁路遗址公园融合渗透”；成交：2026-02-03 成交; 280000 万元（ggzyfw 历史报价末次）,280000,,2026-02-03
北京市海淀区蓝景丽家收储项目HD00-1603-01、HD00-1603-03A地块 B4综合性商业金融服务业用地,HD00-1603-03A,B4,2.20,24,,,70.656,155.443,京土储挂（海）[2025]051号,京规自（海）供审函〔2025〕0006号,2025-12-31,yes,https://ggzyfw.beijing.gov.cn/zpgcrgg/20251231/5391270.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 192pt）；HD00-1603 为大钟寺片区；函内明确“落实大钟寺站综合型微中心管控要求”“与京张铁路遗址公园融合渗透”；成交：2026-02-03 成交; 280000 万元（ggzyfw 历史报价末次）,280000,,2026-02-03
北京市海淀区五塔寺地区棚户区改造和环境整治项目HD00-2002-10地块B4综合性商业金融服务业用地,HD00-2002-10,B4,4.20,45,,10,15563.385,65366.217,京土储挂（海）[2026]001号,京规自（海）供审函〔2025〕0004号,2026-01-08,yes,https://ggzyfw.beijing.gov.cn/zpgcrgg/20260108/5398628.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 177pt）；成交：2026-03-27 成交; 200200 万元（ggzyfw 历史报价末次）,200200,,2026-03-27
北京市海淀区海淀北部中关村翠湖科技园B地块土地一级开发项目HD00-0305-0024地块二类城镇住宅用地,HD0003050024,R2,1.8,36,,30,25268.17,45482.71,京土储挂（海）[2024]003号,京规自（海）供审函〔2023〕0004号,2024-01-15,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20240115/4296625.html,pdftotext 标签直读；地块编号按公告标题校正为 HD0003050024；v2 补入函件（京规自（海）供审函〔2023〕0004号）指标表：容积率 1.8/控制高度 36m/绿地率 30%（建筑密度函件未列）；成交：2024-02-22 成交; 265300 万元（ggzyfw 历史报价末次）,265300,,2024-02-22
北京市海淀区中关村翠湖科技园A1地块HD00-0302-0175、6008地块F3其他类多功能用地、B23研发设计用地,HD00-0302-0175,F3,1.0,12,,30,6900,6900,京土储挂（海）[2024]008号,京规自（海）供审函〔2023〕0002号,2024-02-07,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20240207/4424796.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 239pt）；函内地块编号解析不完整（函件同时列示多宗地块），需对照函件原表复核；v2 校正地块编号 HD00-0302-0175，补控制高度 12m；成交：2024-03-15 成交; 74000 万元（ggzyfw 历史报价末次）,74000,,2024-03-15
北京市海淀区中关村翠湖科技园A1地块HD00-0302-0175、6008地块F3其他类多功能用地、B23研发设计用地,HD00-0302-6008,B23,1.6,18.8-28,,30,30755.61,49208.976,京土储挂（海）[2024]008号,京规自（海）供审函〔2023〕0002号,2024-02-07,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20240207/4424796.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 239pt）；函内地块编号解析不完整（函件同时列示多宗地块），需对照函件原表复核；v2 校正地块编号 HD00-0302-6008，补控制高度 18.8-28m；成交：2024-03-15 成交; 74000 万元（ggzyfw 历史报价末次）,74000,,2024-03-15
北京市海淀区温泉镇中心区F16地块0901商业用地,F16,0901,1.0,15,,30,8286.488,8286.488,京土储挂（海）[2024]014号,京规自（海）供审函〔2023〕0003号,2024-04-23,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20240423/4497229.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 149pt）；v2 补用地规模 8286.488㎡（函件用地性质“0901 商业用地”，新国标代码）；成交：2024-05-28 成交; 16000 万元（ggzyfw 历史报价末次）,16000,,2024-05-28
北京市海淀区西北旺镇永丰产业基地（新）0411街区HD00-0411-0055、0058、0064、0072地块二类城镇住宅用地、商业服务业用地/地面公共交通场站用地,HD0004110055,,,,,,89529.8,222463.3,京土储挂（海）[2024]016号,京规自（海）供审函〔2024〕0003号,2024-04-30,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20240430/4508231.html,pdftotext 标签直读；地块编号按公告标题校正为 HD0004110055；成交：2024-06-04 成交; 791700 万元（ggzyfw 历史报价末次）,791700,,2024-06-04
北京市海淀区西北旺镇永丰产业基地（新）H地块HD00-0401-0120、0132、0162地块二类城镇住宅用地、零售商业用地,HD0004010120,,,,,,85584.572,162894.59,京土储挂（海）[2024]026号,京规自（海）供审函〔2024〕0004号,2024-06-21,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20240621/4569302.html,pdftotext 标签直读；地块编号按公告标题校正为 HD0004010120；v2 说明：本行与新增宗地行为 HD00-0401 三宗地（公告级合计）；函件另列温泉镇 HD00-0304-0017/0027 两宗地，属其他公告（本公告未覆盖）；成交：2024-07-25 成交; 868600 万元（ggzyfw 历史报价末次）,868600,,2024-07-25
北京市海淀区功德寺棚户区改造项目HD-GDS-001地块R2二类居住用地,HDGDS001,R2,2.1,30,,30,34678.620,72825.102,京土储挂（海）[2024]043号,京规自（海）供审函〔2024〕0005号,2024-09-30,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20240930/4685110.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 205pt）；地块编号按公告标题校正为 HDGDS001；成交：2024-11-05 成交; 452250 万元（ggzyfw 历史报价末次）,452250,,2024-11-05
北京市海淀区功德寺棚户区改造项目HD-GDS-001地块R2二类居住用地,HDGDS002,R2,2.1,30,,30,42463.441,89173.2261,京土储挂（海）[2024]043号,京规自（海）供审函〔2024〕0005号,2024-09-30,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20240930/4685110.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 205pt）；地块编号按公告标题校正为 HDGDS001；v2 校正：该行数值为 HD-GDS-002 宗地（其挂牌公告为[2024]044号；两公告共用同一多规合一函）；成交：2024-11-05 成交; 452250 万元（ggzyfw 历史报价末次）,452250,,2024-11-05
北京市海淀区功德寺棚户区改造项目HD-GDS-002地块R2二类居住用地,HDGDS001,R2,2.1,30,,30,34678.620,72825.102,京土储挂（海）[2024]044号,京规自（海）供审函〔2024〕0005号,2024-09-30,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20240930/4685115.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 205pt）；地块编号按公告标题校正为 HDGDS002；v2 校正：该行数值为 HD-GDS-001 宗地（其挂牌公告为[2024]043号；两公告共用同一多规合一函）；成交：2024-11-05 成交; 558600 万元（ggzyfw 历史报价末次）,558600,,2024-11-05
北京市海淀区功德寺棚户区改造项目HD-GDS-002地块R2二类居住用地,HDGDS002,R2,2.1,30,,30,42463.441,89173.2261,京土储挂（海）[2024]044号,京规自（海）供审函〔2024〕0005号,2024-09-30,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20240930/4685115.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 205pt）；地块编号按公告标题校正为 HDGDS002；成交：2024-11-05 成交; 558600 万元（ggzyfw 历史报价末次）,558600,,2024-11-05
北京市海淀区东升镇北部片区朱房四街棚户区改造项目二期（剩余用地）HD00-0803-0029地块R2二类居住用地,HD0008030029,R2,2.4,48,,30,42734.155,102561.972,京土储挂（海）[2024]051号,京规自（海）供审函〔2024〕0006号,2024-11-28,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20241128/4748859.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 187pt）；地块编号按公告标题校正为 HD0008030029；成交：2025-01-02 成交; 783200 万元（ggzyfw 历史报价末次）,783200,,2025-01-02
北京市海淀区东升镇北部片区朱房四街棚户区改造项目二期（剩余用地）HD00-0803-0029地块R2二类居住用地,HD00-0803-0030,R2,2.42,48,,30,39303.709,95114.9758,京土储挂（海）[2024]051号,京规自（海）供审函〔2024〕0006号,2024-11-28,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20241128/4748859.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 187pt）；函内地块编号解析不完整（函件同时列示多宗地块），需对照函件原表复核；v2 校正地块编号 HD00-0803-0030（该宗地挂牌公告为[2024]052号；两公告共用同一多规合一函）；成交：2025-01-02 成交; 783200 万元（ggzyfw 历史报价末次）,783200,,2025-01-02
北京市海淀区东升镇北部片区朱房四街棚户区改造项目二期（剩余用地）HD00-0803-0030地块R2二类居住用地,HD0008030030,R2,2.42,48,,30,39303.709,95114.9758,京土储挂（海）[2024]052号,京规自（海）供审函〔2024〕0006号,2024-11-28,unknown,https://ggzyfw.beijing.gov.cn/zpgcrgg/20241128/4748860.html,PyMuPDF 词坐标法（表头在第 2 页，列 x 跨度 187pt）；地块编号按公告标题校正为 HD0008030030；v2 校正：原行误配 HD00-0803-0029 宗地数值，更正为 HD00-0803-0030（39303.709/95114.9758，容积率 2.42，函件京规自（海）供审函〔2024〕0006号）；成交：2025-01-02 成交; 726650 万元（ggzyfw 历史报价末次）,726650,,2025-01-02
