parcel_name,parcel_code,land_use_code,far,building_height_m,building_density_pct,green_ratio_pct,land_area_sqm,floor_area_sqm,notice_no,doc_no,notice_date,corridor,source_url,extraction_notes,transaction_price,winner,transaction_date
北京市海淀区西八里庄0711-652、640、641地块B4综合性商业金融服务业用地,,,,,,,51788.13,184800,京土储挂（海）[2020]042号,京规自（海）供审函〔2019〕0006号,2020-10-29,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8C%82%EF%BC%88%E6%B5%B7%EF%BC%89%5B2020%5D042%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; 指标未能解析（PaddleOCR 未匹配指标表行或行不满足合理性过滤）; 公告级指标来自0-京土整储挂（海）[2020]042号.pdf 文本层,,,2020-12-02
北京市海淀区“海淀北部地区整体开发”西北旺镇HD00-0403-0061、0050、0031、0040、0046地块二类居住、其他类多功能、医院及机构养老设施用地,,,,,,,67309.96,162845,京土储挂（海）[2020]001号,京规自（海）供审函〔2019〕0002号,,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8C%82%EF%BC%88%E6%B5%B7%EF%BC%89%5B2020%5D001%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; PaddleOCR 指标表行解析（合计校验通过 land 116037/floor 270383，中置信，待人工核验）; 公告级面积（67309.96）与函总计（116037.05）不一致，宗地级归属以挂牌公告宗地范围为准; 公告级指标来自1-挂牌文件.pdf 文本层,,,2020-02-25
北京市海淀区“海淀北部地区整体开发”西北旺镇HD00-0403-0061、0050、0031、0040、0046地块二类居住、其他类多功能、医院及机构养老设施用地,HD00-0403-0043,,2.5,45,35,,40327.09,100818,京土储挂（海）[2020]001号,京规自（海）供审函〔2019〕0002号,,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8C%82%EF%BC%88%E6%B5%B7%EF%BC%89%5B2020%5D001%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; PaddleOCR 指标表行解析（合计校验通过 land 116037/floor 270383，中置信，待人工核验）; 公告级面积（67309.96）与函总计（116037.05）不一致，宗地级归属以挂牌公告宗地范围为准；PDF=3-规划条件.pdf,,,2020-02-25
北京市海淀区“海淀北部地区整体开发”西北旺镇HD00-0403-0061、0050、0031、0040、0046地块二类居住、其他类多功能、医院及机构养老设施用地,HD00-0403-0049,,0.8,12,30,30,8400,6720,京土储挂（海）[2020]001号,京规自（海）供审函〔2019〕0002号,,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8C%82%EF%BC%88%E6%B5%B7%EF%BC%89%5B2020%5D001%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; PaddleOCR 指标表行解析（合计校验通过 land 116037/floor 270383，中置信，待人工核验）; 公告级面积（67309.96）与函总计（116037.05）不一致，宗地级归属以挂牌公告宗地范围为准；PDF=3-规划条件.pdf,,,2020-02-25
北京市海淀区“海淀北部地区整体开发”西北旺镇HD00-0403-0061、0050、0031、0040、0046地块二类居住、其他类多功能、医院及机构养老设施用地,HD00-0403-0031,,3,45,40,25,6900,20700,京土储挂（海）[2020]001号,京规自（海）供审函〔2019〕0002号,,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8C%82%EF%BC%88%E6%B5%B7%EF%BC%89%5B2020%5D001%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; PaddleOCR 指标表行解析（合计校验通过 land 116037/floor 270383，中置信，待人工核验）; 公告级面积（67309.96）与函总计（116037.05）不一致，宗地级归属以挂牌公告宗地范围为准；PDF=3-规划条件.pdf,,,2020-02-25
北京市海淀区“海淀北部地区整体开发”西北旺镇HD00-0403-0061、0050、0031、0040、0046地块二类居住、其他类多功能、医院及机构养老设施用地,HD00-0403-0040,,1.6,18,,,2500,4000,京土储挂（海）[2020]001号,京规自（海）供审函〔2019〕0002号,,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8C%82%EF%BC%88%E6%B5%B7%EF%BC%89%5B2020%5D001%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; PaddleOCR 指标表行解析（合计校验通过 land 116037/floor 270383，中置信，待人工核验）; 公告级面积（67309.96）与函总计（116037.05）不一致，宗地级归属以挂牌公告宗地范围为准；PDF=3-规划条件.pdf,,,2020-02-25
北京市海淀区“海淀北部地区整体开发”西北旺镇HD00-0403-0061、0050、0031、0040、0046地块二类居住、其他类多功能、医院及机构养老设施用地,HD00-0403-0046,,0.8,12,30,40,3900,3120,京土储挂（海）[2020]001号,京规自（海）供审函〔2019〕0002号,,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8C%82%EF%BC%88%E6%B5%B7%EF%BC%89%5B2020%5D001%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; PaddleOCR 指标表行解析（合计校验通过 land 116037/floor 270383，中置信，待人工核验）; 公告级面积（67309.96）与函总计（116037.05）不一致，宗地级归属以挂牌公告宗地范围为准；PDF=3-规划条件.pdf,,,2020-02-25
北京市海淀区“海淀北部地区整体开发”西北旺镇HD00-0403-0061、0050、0031、0040、0046地块二类居住、其他类多功能、医院及机构养老设施用地,HD00-0403-0061,,2.5,45,35,30,30367.3,75918,京土储挂（海）[2020]001号,京规自（海）供审函〔2019〕0002号,,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8C%82%EF%BC%88%E6%B5%B7%EF%BC%89%5B2020%5D001%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; PaddleOCR 指标表行解析（合计校验通过 land 116037/floor 270383，中置信，待人工核验）; 公告级面积（67309.96）与函总计（116037.05）不一致，宗地级归属以挂牌公告宗地范围为准；PDF=3-规划条件.pdf,,,2020-02-25
北京市海淀区“海淀北部地区整体开发”西北旺镇HD00-0403-0061、0050、0031、0040、0046地块二类居住、其他类多功能、医院及机构养老设施用地,HD00-0403-0050,,2.5,45,35,30,23642.66,59107,京土储挂（海）[2020]001号,京规自（海）供审函〔2019〕0002号,,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8C%82%EF%BC%88%E6%B5%B7%EF%BC%89%5B2020%5D001%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; PaddleOCR 指标表行解析（合计校验通过 land 116037/floor 270383，中置信，待人工核验）; 公告级面积（67309.96）与函总计（116037.05）不一致，宗地级归属以挂牌公告宗地范围为准；PDF=3-规划条件.pdf,,,2020-02-25
北京市海淀区“海淀北部地区整体开发”西北旺镇HD00-0403-0043、0049地块二类居住及基础教育用地,,,,,,,48727.09,107538,京土储挂（海）[2019]047号,京规自（海）供审函〔2019〕0002号,2019-12-20,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8C%82%EF%BC%88%E6%B5%B7%EF%BC%89%5B2019%5D047%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; PaddleOCR 指标表行解析（合计校验通过 land 116037/floor 270383，中置信，待人工核验）; 公告级面积（48727.09）与函总计（116037.05）不一致，宗地级归属以挂牌公告宗地范围为准; 公告级指标来自1-挂牌文件.pdf 文本层,,,2020-02-14
