区,幼儿园名称,办园性质,举办者,幼儿园地址
东城区,北京市东城区大方家回民幼儿园,教育部门,地级教育部门,东城区朝内南小街后芳嘉园3号
东城区,北京市东城区大方家回民幼儿园 - 小牌坊分址,教育部门,地级教育部门,北京市东城区朝内小牌坊胡同37号
东城区,北京市东城区大方家回民幼儿园 - 春松分址,教育部门,地级教育部门,北京市东城区春松胡同1号
东城区,北京市第三幼儿园,教育部门,地级教育部门,北京市东城区中华路4号（中山公园内）
东城区,北京市东城区新中街幼儿园,教育部门,地级教育部门,北京市东城区东直门外胡家园小区24号楼
东城区,北京市东城区新中街幼儿园 - 鼓楼分址,教育部门,地级教育部门,北京市东城区鼓楼东大街草场胡同24号
东城区,北京市东城区新中街幼儿园-春秀路分址,教育部门,地级教育部门,北京市东城区东直门外大街春秀路小区12号
东城区,北京市第一幼儿园附属实验园,教育部门,地级教育部门,北京市东城区安外小黄庄一区7号楼
东城区,北京市东城区东华门幼儿园,教育部门,地级教育部门,北京市东城区北河沿大街149号
东城区,北京市东城区东华门幼儿园 - 小班部,教育部门,地级教育部门,北京市东城区大鹁鸽胡同14号
东城区,北京市东城区东棉花胡同幼儿园,教育部门,地级教育部门,北京市东城区东棉花胡同20号
东城区,北京市第二幼儿园,教育部门,地级教育部门,北京市东城区北新桥三条38号
东城区,北京市第二幼儿园 - 分址,教育部门,地级教育部门,北京市东城区东直门内南小街5号
东城区,北京市第二幼儿园 - 东四十二条分址,教育部门,地级教育部门,北京市东城区东四十二条26号
东城区,北京市东城区华丰幼儿园,教育部门,地级教育部门,北京市东城区和平里六区21号楼
东城区,财政部幼儿园,其他部门,省级其他部门,北京市东城区西扬威胡同甲12号
东城区,国家林业和草原局幼儿园,其他部门,省级其他部门,和平里七区21号楼
东城区,北京市第一幼儿园,教育部门,地级教育部门,东四北大街汪芝麻胡同19号
东城区,北京市第一幼儿园 - 吉祥分址,教育部门,地级教育部门,东四北大街南吉祥胡同28号
东城区,北京市东城区分司厅幼儿园,教育部门,地级教育部门,北京市东城区分司厅胡同57号
东城区,商务部幼儿园,其他部门,省级其他部门,北京市东城区台基厂三条二号
东城区,北京市东城区杰思幼儿园,民办,民办,东直门外大街35号C101
东城区,北京公交鸿运承幼儿教育中心第一幼儿园,地方企业,地方企业,东城区旧鼓楼外大街64号
东城区,北京市东城区东四五条幼儿园,教育部门,地级教育部门,北京市东城区东四五条41号
东城区,北京市东城区东四五条幼儿园 - 雍和宫分址,教育部门,地级教育部门,东城区藏经馆胡同27号
东城区,北京市东城区崇文回民幼儿园,教育部门,地级教育部门,北京市东城区东花市北里东区12号楼
东城区,北京市东城区崇文回民幼儿园 - 分址,教育部门,地级教育部门,北京市东城区东八角胡同27号
东城区,北京市东城区红湖幼儿园,集体,集体,北京市东城区龙潭北里三条三号
东城区,中国人民解放军北京军区空军育翔幼儿园,部队,部队,北京市东城区板厂南里11号
东城区,北京市东城区永东幼儿园,教育部门,地级教育部门,北京市东城区永定门内东街中里23号
东城区,北京市第五幼儿园,教育部门,地级教育部门,北京市东城区夕照寺街3号
东城区,北京市东城区第二幼儿园,教育部门,地级教育部门,北京市东城区广渠门内大街31号
东城区,北京市东城区第二幼儿园 - 红桥分址,教育部门,地级教育部门,北京市东城区东马尾帽胡同22号
东城区,北京市东城区第二幼儿园 - 崇外分址,教育部门,地级教育部门,北京市东城区西花市南里东区12号楼
东城区,北京市东城区第二幼儿园 - 安化楼分址,教育部门,地级教育部门,东城区安化北里64号
东城区,北京市第五幼儿园分园,教育部门,地级教育部门,北京市东城区法华南里33号楼
东城区,北京市东城区安乐幼儿园,教育部门,地级教育部门,北京市东城区永定门外大街86号
东城区,北京市东城区安乐幼儿园 - 大班部,教育部门,地级教育部门,北京市东城区安乐林路17号
东城区,北京市东城区永定门幼儿园,教育部门,地级教育部门,北京市东城区西园子街32号
东城区,北京市东城区崇文幼儿园,教育部门,地级教育部门,北京市东城区法华南里甲14楼
东城区,北京市东城区崇文第三幼儿园,教育部门,地级教育部门,北京市东城区幸福北里甲12号
东城区,北京市东城区卫生健康委员会第一幼儿园,事业单位,事业单位,北京市东城区锡拉胡同19号
东城区,北京市东城区景山魏家幼儿园,集体,集体,北京市东城区魏家胡同19号
东城区,北京市第七幼儿园,教育部门,地级教育部门,北京市东城区宝钞胡同23号
东城区,北京市第七幼儿园 - 分址,教育部门,地级教育部门,北京市东城区琉璃寺胡同11号
东城区,中国人民解放军空军后勤部蓝天幼儿园,部队,部队,北京市东城区鼓楼东大街99号空后蓝天幼儿园
东城区,北京市东城区卫生健康委员会第三幼儿园,事业单位,事业单位,和平里民旺园丙7号
东城区,中央军委机关事务管理总局红星幼儿园（黄寺园）,部队,部队,北京市东城区安德里北街21号
东城区,应急管理部机关服务中心幼儿园,其他部门,省级其他部门,北京市东城区和平里九区甲3号
东城区,北京市东城区前门幼儿园,教育部门,地级教育部门,东城区草厂九条35号
东城区,北京市东城区光明幼儿园,教育部门,地级教育部门,东城区光明楼甲25号
东城区,北京市东城区光明幼儿园 - 弘善分址,教育部门,地级教育部门,朝阳区弘善家园410楼
东城区,北京市机关事务管理局第一幼儿园,其他部门,省级其他部门,北京市光明路1号
东城区,北京市东城区金鼎实验幼儿园,民办,民办,北京市东城区和平里中街29号
东城区,北京市东城区青青藤幼儿园,民办,民办,北京东城区广渠门内大街安化北里18号院6号楼
东城区,北京市第一幼儿园海晟实验园,教育部门,地级教育部门,北京市东城区东直门外十字坡东小街1号
东城区,北京市东城区九月幼儿园,民办,民办,东城区北锣鼓巷净土胡同9号
东城区,北京市东城区明城幼儿园,教育部门,地级教育部门,北京市东城区盔甲厂胡同9号
东城区,北京市东城区育萌幼儿园,民办,民办,北京市东城区天坛东路13-1
东城区,北京市东城区环球教育实验幼儿园,民办,民办,北京市东城区天坛东路9号院
东城区,北京市东城区和乐蔷薇幼儿园,民办,民办,北京市东城区培新街10号
东城区,北京市东城区春江幼儿园,教育部门,地级教育部门,北京市东城区南水关胡同60号
东城区,北京市东城区东华门幼儿园分园,教育部门,地级教育部门,北京市东城区南河沿大街19号
东城区,北京市东城区实验幼儿园,教育部门,地级教育部门,北京市东城区松林街2号院1号楼
东城区,北京市东城区天坛南里幼儿园,教育部门,地级教育部门,北京市东城区天坛南里16号
东城区,北京市东城区革新里幼儿园,教育部门,地级教育部门,北京市东城区西革新里116号院7号楼
东城区,北京市东城区优肯幼儿园,民办,民办,北京市东城区忠实里南街甲6-1号
东城区,北京市东城区阳光天使幼儿园,民办,民办,北京市东城区定安里1号楼
东城区,北京市东城区爱朗幼儿园,民办,民办,北京市东城区广渠门内大街36号楼幸福家园三期13号楼1层
东城区,北京市东城区华之澜实验幼儿园,民办,民办,北京市东城区永定门外大街86号
东城区,北京市东城区为依幼儿园,民办,民办,北京市和平里七区甲12号北平房院
东城区,北京市东城区华汇和睿幼儿园,民办,民办,北京市东城区西总布胡同57号
东城区,北京市东城区永外实验幼儿园,民办,民办,北京市东城区安乐林二条二十号
东城区,北京市东城区中教语文实验幼儿园,民办,民办,东城区东四南大街3号
东城区,北京市东城区爱加倍幼儿园,民办,民办,北京市东城区东花市北里西区23号楼2层23-11
东城区,北京市东城区龙潭幼儿园,民办,民办,龙潭路8号迤北之三
东城区,北京市东城区东方祥泰第一幼儿园,民办,民办,北京市东城区和平里中街三号院9号楼
东城区,北京市东城区向日葵玉河幼儿园,民办,民办,北京市东城区地安门柺棒胡同2号
东城区,北京市东城区精诚实验幼儿园,民办,民办,东城区地安门东大街47号
东城区,北京市东城区红星幼儿园,民办,民办,北京市东城区东四十条113号
东城区,北京市东城区合一幼儿园,民办,民办,北京市东城区中芦草园5-7号
东城区,北京市东城区史家胡同精诚实验幼儿园,民办,民办,北京市东城区史家胡同42号
东城区,北京市东城区腾威幼儿园,民办,民办,北京市东城区标杆胡同11号
东城区,北京市东城区远望明德幼儿园,民办,民办,北京市东城区安德路47号院甲11号楼
东城区,北京市东城区欣苑幼儿园,教育部门,地级教育部门,东花市北里西区9号
东城区,北京市东城区国家体育总局训练局体育幼儿园,民办,民办,北京市东城区体育馆路甲2号国家体育总局训练局高尔夫练习场配楼
东城区,北京市东城区东直门街道当代摩码社区办园点,社区办园点,民办,北京市东城区香河园1号当代MOMA社区 T11座
东城区,北京市东城区北新桥街道睿博园社区办园点,社区办园点,民办,北京市东城区旗杆胡同12号
东城区,北京市东城区东华门街道育才宝贝社区办园点,社区办园点,民办,北京市东城区东华门街道前厂胡同21号
东城区,北京市东城区东花市街道伊顿社区办园点,社区办园点,民办,东城区广渠门外广渠家园21号楼
东城区,北京市东城区永外街道枫丹白露社区办园点,社区办园点,民办,北京市东城区三元街大磨坊文创园12号楼
东城区,北京市东城区地坛幼儿园,教育部门,地级教育部门,东城区安外西河沿2号楼2号院
西城区,北京市西城区长安幼儿园,教育部门,县级教育部门,西城区前门西大街139号
西城区,北京市西城区长安幼儿园 - 和平门分园,教育部门,县级教育部门,北京市西城区前门西大街77号
西城区,北京市北海幼儿园,事业单位,事业单位,地安门西大街22号
西城区,北京市北海幼儿园 - 后海分园,教育部门,县级教育部门,后海北沿23号
西城区,北京市西城区大栅栏西柳树井幼儿园,集体,集体,北京市西城区珠市口西大街111号
西城区,北京市西城区大栅栏大安澜营幼儿园,集体,集体,大安澜营胡同13号
西城区,北京市西城区虎坊路幼儿园,事业单位,事业单位,北京市西城区虎坊路甲14号
西城区,北京市西城区虎坊路幼儿园 - 大川分园,事业单位,事业单位,北京市西城区大川路7号
西城区,北京市西城区虎坊路幼儿园 - 腊竹分园,事业单位,事业单位,北京市西城区腊竹胡同23号
西城区,北京市第六幼儿园,教育部门,县级教育部门,北京市西城区大石桥胡同43号
西城区,北京市西城区曙光幼儿园,教育部门,县级教育部门,北京市西城区后广平胡同1号院1号楼
西城区,北京市西城区曙光幼儿园 - 分园,教育部门,县级教育部门,北京市西城区庆丰胡同3号
西城区,北京市西城区曙光幼儿园-展览路分园,教育部门,县级教育部门,北京市西城区北礼士路西六条1号
西城区,北京市西城区实验幼儿园,教育部门,县级教育部门,北京市西城区南新华街21号
西城区,北京市西城区实验幼儿园 - 施家分园,教育部门,县级教育部门,北京市西城区施家胡同7号
西城区,北京市西城区实验幼儿园-琉璃厂分园,教育部门,县级教育部门,北京市西城区琉璃巷3号、5号
西城区,北京市西城区西四北幼儿园,教育部门,县级教育部门,北京市西城区西四北三条11号
西城区,北京市西城区名苑幼儿园,教育部门,县级教育部门,北京市西城区广外红居街16号
西城区,北京市西城区名苑幼儿园 - 分园,教育部门,县级教育部门,北京市西城区广安门外红居街10号
西城区,北京市西城区幸福时光陶然幼儿园,民办,民办,北京市西城区黑窑厂西里甲11号
西城区,北京市西城区长椿街幼儿园,教育部门,县级教育部门,北京市西城区西便门东里11号
西城区,北京市西城区槐柏幼儿园,教育部门,县级教育部门,槐柏树街南里10号楼
西城区,北京市西城区槐柏幼儿园 - 月坛分园,教育部门,县级教育部门,北京市西城区南礼士路三条甲二号
西城区,北京市西城区和平门幼儿园,教育部门,县级教育部门,西城区上斜街66号
西城区,北京市西城区小百合幼儿园,教育部门,地级教育部门,北京市西城区长椿街甲1号
西城区,北京市机关事务管理局第二幼儿园,其他部门,省级其他部门,北京市西城区长椿里2号
西城区,北京市西城区三教寺幼儿园,教育部门,县级教育部门,西城区里仁街12号
西城区,北京市西城区三教寺幼儿园 - 天桥分园（中大班部）,教育部门,县级教育部门,西城区留学路114号
西城区,北京市西城区三教寺幼儿园 - 培英分园（小班部）,教育部门,县级教育部门,北京市西城区培英胡同12号
西城区,北京市第四幼儿园,教育部门,县级教育部门,广外莲花河胡同3号
西城区,北京市第四幼儿园白纸坊分部,教育部门,县级教育部门,北京市西城区樱桃三条7号
西城区,北京市西城区里仁街幼儿园,民办,民办,宏建北里13号
西城区,北京市西城区南菜园幼儿园,集体,集体,北京市西城区菜园街五层公寓楼2号
西城区,北京市西城区樱桃园幼儿园,集体,集体,西城区右内大街53号
西城区,北京市西城区三义里第一幼儿园,教育部门,地级教育部门,西城区三义东里9号
西城区,北京市西城区三义里第二幼儿园,教育部门,县级教育部门,西城区广外三义西里7-2号
西城区,北京市西城区马连道幼儿园,教育部门,县级教育部门,北京市西城区广安门外红莲中里10号
西城区,北京市西城区马连道幼儿园 - 分园,教育部门,县级教育部门,北京市西城区广安门外红莲中里10号
西城区,北京中铁信达经贸有限公司幼儿园,民办,民办,北京市西城区广外车站东街甲5号
西城区,北京市西城区汇佳北欧幼儿园,民办,民办,北京市西城区马连道路80号院
西城区,北京市宣武回民幼儿园,教育部门,地级教育部门,北京市西城区南横西街119号
西城区,北京洁如幼儿园,教育部门,县级教育部门,西城区什坊小街宏英园17号楼
西城区,北京洁如幼儿园-粉子分园,教育部门,县级教育部门,西城区粉子胡同甲7号
西城区,北京市西城区棉花胡同幼儿园,教育部门,县级教育部门,棉花胡同78号
西城区,北京市西城区棉花胡同幼儿园 - 育德分园,教育部门,县级教育部门,西城区育德胡同5号
西城区,北京市西城区棉花胡同幼儿园 - 松树街分园,教育部门,县级教育部门,西城区弘善胡同3号
西城区,北京市西城区棉花胡同幼儿园 - 七条分园,教育部门,县级教育部门,北京市西城区西四北七条20号
西城区,北京市西城区洁民幼儿园,教育部门,县级教育部门,裕中西里36号楼
西城区,北京市西城区洁民幼儿园-双秀分园,教育部门,县级教育部门,北京市西城区马甸南村甲3号
西城区,北京市西城区洁民幼儿园-裕西分园,教育部门,县级教育部门,北京市西城区德胜街道
西城区,北京市西城区民族团结幼儿园,事业单位,事业单位,北京市西城区黄寺大街23-115号
西城区,北京市西城区民族团结幼儿园 - 分园,事业单位,事业单位,北京市西城区新外大街新明胡同乙1号
西城区,北京市西城区金融街街道新京畿道实验幼儿园,集体,集体,北京市西城区二龙路京畿道小区12号
西城区,北京市西城区金融街街道新京畿道实验幼儿园 - 新文化街分园,集体,集体,北京市西城区新文化街甲62号
西城区,中共中央组织部机关服务中心幼儿园,其他部门,中央组织部,北京市西城区西单北大街小酱坊胡同31号
西城区,中共中央办公厅警卫局北长街幼儿园,其他部门,中央办公厅,西城区北长街89号
西城区,北京市西城区什刹海街道大拐棒幼儿园,集体,集体,西城区大拐棒胡同15号
西城区,北京市公安局幼儿园,其他部门,省级其他部门,西城区松树街7号
西城区,北京军区空军蓝天宇锋幼儿园,部队,部队,北京市西城区平安里群力胡同17号
西城区,中国人民解放军北京卫戍区直属机关幼儿园,部队,部队,北京市西城区什刹海街道办事处兴华社区居委会
西城区,北京市西城区新街口街道果子市幼儿园,集体,集体,北京市西城区鼓楼西大街169号
西城区,北京市西城区新街口街道高井幼儿园,集体,集体,北京市西城区西直门内大街高井胡同16号
西城区,中国儿童中心实验幼儿园,其他部门,中华全国妇女联合会,北京市西城区平安里西大街43号
西城区,北京市西城区幸福泉幼儿园,民办,民办,冠英园西区8号
西城区,北京市西城区广电银河幼儿园,民办,民办,育德胡同15号
西城区,中共中央直属机关事务管理局实验幼儿园,其他部门,中央直属机关事务管理局,北京市西城区新风街1号院甲2号楼
西城区,北京市西城区月坛街道办事处第一幼儿园,集体,集体,西城区三里河北街23号
西城区,公安部幼儿园,其他部门,公安部,北京市西城区木樨地北里2号
西城区,国家发展和改革委员会三里河幼儿园,其他部门,省级其他部门,北京市西城区三里河一区丙68号
西城区,北京市西城区展览路街道北营幼儿园,集体,集体,北京市西城区北营房西里
西城区,中国人民解放军新闻传播中心幼儿园,部队,部队,阜外大街34号
西城区,物资机关幼儿园,其他部门,省级其他部门,北京市西城区月坛北街25号院
西城区,国家机关事务管理局花园村幼儿园广源分园,其他部门,国务院办公厅,北京市西城区广外大街305号三区八号楼广源小区西区幼儿园
西城区,北京华油服务有限公司幼儿园,地方企业,省级其他部门,北京市西城区六铺炕三区甲15号
西城区,北京市农业农村局幼儿园,其他部门,省级其他部门,北京市西城区裕中西里甲1号
西城区,北京市西城区蓝色未来幼儿园,民办,民办,北京市西城区小马厂路一号院3号楼底商307-309
西城区,北京市西城区普林斯顿幼儿园,民办,民办,北京市西城区广安门内大街广安胡同康乐里12号
西城区,北京市西城区信和幼儿园,教育部门,县级教育部门,北京市西城区马连道路15号院5号楼
西城区,北京市西城区红山幼儿园,教育部门,县级教育部门,北京市西城区广安门外大街305号二区10楼
西城区,北京市西城区亲育代幼儿园,民办,民办,北京市西城区北礼士路135号35号楼
西城区,北京市西城区悠米幼儿园,民办,民办,北京市西城区菜市口莲花胡同11号
西城区,北京市西城区悠米幼儿园 - 广外分园,民办,民办,北京市西城区广外街道鸭子桥路41号
西城区,北京市西城区悠米幼儿园 - 陶然亭分园,民办,民办,西城区南华东街12号
西城区,北京市西城区盛鸿天使幼儿园,民办,民办,北京市西城区陶然亭路2号9号楼一层
西城区,北京市西城区广安幼儿园,教育部门,县级教育部门,北京市西城区广安门车站西街2号院15号楼
西城区,北京市西城区诺博幼儿园,民办,民办,北京市西城区展览路街道北露园2号
西城区,北京市西城区红黄蓝幼儿园,民办,民办,北京市西城区南菜园乙一号院2号楼，3号楼
西城区,北京市西城区乐百灵幼儿园,民办,民办,北京市西城区红居街远见名苑10号楼C座10-8底商
西城区,北京市西城区松树阳光幼儿园,民办,民办,北京市西城区百万庄中里46号
西城区,北京博雅汇英幼儿园,民办,民办,西城区双柳树二条1号院
西城区,北京市西城区金色启蒙幼儿园,民办,民办,北京市西城区虎坊桥魏染胡同36号
西城区,北京市第十五中学附属陶然亭幼儿园,教育部门,县级教育部门,北京市西城区育新街2号
西城区,北京市西城区大栅栏幼儿园,事业单位,事业单位,北京市西城区小沙土园12号
西城区,北京市西城区教育研修学院附属幼儿园,教育部门,县级教育部门,北京市西城区西四北大街83号
西城区,北京市西城区教育研修学院附属幼儿园-分园,教育部门,县级教育部门,北京市西城区平安里西大街16号
西城区,北京市西城区美仁幼儿园,民办,民办,北京市西城区西便门西里5号楼
西城区,北京市西城区育民五一幼儿园,事业单位,事业单位,北京市西城区真武庙二里5号楼
西城区,北京智慧摇篮幼儿园,民办,民办,北京市西城区老墙根101-105号
西城区,北京智慧摇篮幼儿园-大齐家分园,民办,民办,北京市西城区大齐家胡同31号
西城区,北京比泡乐儿幼儿园西城园,民办,民办,北京市西城区南纬路31号
西城区,北京永远的孩子幼儿园,民办,民办,北京市西城区广安门外马连道南街16号院1号楼
西城区,北京市金融街惠泽幼儿园-鼓楼园,民办,民办,西城区鼓楼大街西绦胡同甲26号
西城区,北京市金融街惠泽幼儿园-金融街园,民办,民办,北京市西城区金融大街甲23号
西城区,北京市金融街惠泽幼儿园-月坛园,民办,民办,北京市西城区南礼士路三条1号院
西城区,北京市金融街惠泽幼儿园-前门园,民办,民办,北京市西城区樱桃斜街57号
西城区,北京德胜盛德幼儿园,民办,民办,北京市西城区德胜门外大街10号1号楼1-1三层、二层、一层108
西城区,北京市西城区爱知湶幼儿园,民办,民办,北京市西城区广外鸭子桥路1号院5号楼101-3/101-4
西城区,北京市西城区嘉泊幼儿园,民办,民办,北京市西城区马连道路13号院内45、46、59、69幢及58幢房屋
西城区,北京金融街惠爱幼儿园,民办,民办,北京市西城区天宁寺东里4号
西城区,北京金融街惠爱幼儿园-白云桥园,民办,民办,北京市西城区小马厂东里10号楼
西城区,北京师范大学亚太实验学校附设幼儿班,民办,民办,北京市昌平区曹碾村西北
西城区,北京市铁路第二中学附属幼儿园,教育部门,县级教育部门,
西城区,北京市西城区培智中心学校,教育部门,县级教育部门,西直门外德宝新园23号
西城区,北京启喑实验学校附属幼儿园,教育部门,县级教育部门,北京市西城区西直门内大街东教场胡同5号
西城区,财政部幼儿园（西直门址）,其他部门,财政部,北京市西城区德宝新园18号
西城区,北京市西城区博智幼儿园,民办,民办,北京市西城区枣林前街37号
西城区,北京市西城区梧桐花语幼儿园,民办,民办,北京市西城区半步桥街甲48号102
西城区,北京市西城区蓝天逸景幼儿园,民办,民办,北京市西城区小马厂路1号院4号楼
西城区,北京市西城区黄城根小学（学前部）,教育部门,地级教育部门,北京市西城区西黄城根北街1号
西城区,北京市育才学校（学前部）,教育部门,地级教育部门,北京市西城区珠市口西大街115号
朝阳区,北京市朝阳区卓悦童幼儿园,民办,民办,北京市朝阳区望京西园216栋
朝阳区,北京市朝阳区妙百睿幼儿园,民办,民办,北京市朝阳区营盘沟路12号楼
朝阳区,北京市朝阳区华溢幼儿园,民办,民办,建国路15号院华龙美树小区9号楼
朝阳区,北京市朝阳区朝花幼儿园（润泽园）,事业单位,事业单位,北京市朝阳区水岸庄园1008号楼
朝阳区,北京市朝阳区嘉德幼儿园,民办,民办,北京市朝阳区八里庄北里221号楼
朝阳区,北京市朝阳区泛海幼儿园,教育部门,地级教育部门,北京市朝阳区华章东路5号院1号楼2号
朝阳区,北京市朝阳区二十一世纪安德鲁斯幼儿园,民办,民办,北京市朝阳区高碑店路179号
朝阳区,中国人民大学朝阳幼儿园,教育部门,地级教育部门,芍药居北里217号
朝阳区,中国人民大学朝阳幼儿园 - 分园,教育部门,地级教育部门,太阳宫一街二号院一号楼
朝阳区,北京市朝阳区丽景幼儿园,教育部门,地级教育部门,北京市朝阳区常营乡五里桥一街4号
朝阳区,北京市朝阳区朝花幼儿园,事业单位,事业单位,北京市朝阳区来广营乡清河营东路4号院1号楼
朝阳区,北京市朝阳区朝花幼儿园（世华泊郡园）,事业单位,事业单位,北京市朝阳区水岸中街21号院1号
朝阳区,北京市朝阳区朝花幼儿园 （华贸园）,事业单位,事业单位,北京市朝阳区水岸中街10号院14号楼
朝阳区,北京市朝阳区朝花幼儿园（京旺园）,事业单位,事业单位,北京市朝阳区京旺家园7区9号楼
朝阳区,北京市朝阳区朝花幼儿园 （金泽园）,事业单位,事业单位,北京市朝阳区东坝康各庄路金泽家园A区335号
朝阳区,北京市朝阳区朝花幼儿园（孙河东园）,事业单位,事业单位,孙河乡康营家园 C区12号楼
朝阳区,北京市朝阳区朝花幼儿园（孙河西园）,事业单位,事业单位,北京市朝阳区孙河乡康营家园15区
朝阳区,北京市朝阳区朝花幼儿园（朝新嘉园园）,事业单位,事业单位,北京市朝阳区东坝朝新嘉园西里1区12号楼
朝阳区,北京市朝阳区朝花幼儿园（朝阳新城园）,事业单位,事业单位,北京市朝阳区东坝朝新嘉园东里七区2号
朝阳区,北京市朝阳区朝花幼儿园（福润四季园）,事业单位,事业单位,北京市朝阳区管庄路30号院1号楼
朝阳区,北京市朝阳区朝花幼儿园（单店园）,事业单位,事业单位,北京市朝阳区朝新嘉园东里四区13号楼朝花幼儿园单店园
朝阳区,北京市朝阳区朝花幼儿园（丽湾园）,事业单位,事业单位,北京市朝阳区东坝中街17号院
朝阳区,北京市朝阳区朝花幼儿园（泰福园）,事业单位,事业单位,北京市朝阳区泰福苑二区东门旁
朝阳区,北京市朝阳区朝花幼儿园（常营园）,事业单位,事业单位,北京市朝阳区燕保常营家园
朝阳区,北京市朝阳区朝花幼儿园（中弘园）,事业单位,事业单位,北京市朝阳区五里桥一街非中心26号楼
朝阳区,北京市朝阳区朝花幼儿园（翠成园）,事业单位,事业单位,北京市朝阳区翠成馨园413号楼
朝阳区,北京市朝阳区朝花幼儿园（双合西园）,事业单位,事业单位,北京市朝阳区双合中路7号院1号楼
朝阳区,北京市朝阳区朝花幼儿园（御景园）,事业单位,事业单位,北京市朝阳区豆各庄乡黄厂路恒大御景湾东区
朝阳区,北京市朝阳区朝花幼儿园（汇星园）,事业单位,事业单位,北京市朝阳区高碑店乡汇星路6号
朝阳区,北京市朝阳区朝花幼儿园（小红门园）,事业单位,事业单位,北京市朝阳区小红门少角中街3号
朝阳区,北京市朝阳区朝花幼儿园（朝丰园）,事业单位,事业单位,北京市朝阳区豆各庄乡朝丰家园六号院5号楼东侧
朝阳区,北京市朝阳区朝花幼儿园（双桥园）,事业单位,事业单位,北京市朝阳区三间房乡东柳西里乙1号
朝阳区,北京市朝阳区朝花幼儿园 （来广营乡中心园）,事业单位,事业单位,北京市朝阳区来广营乡蕴实园22号
朝阳区,北京市朝阳区朝花幼儿园（东大桥园）,事业单位,事业单位,北京市朝阳区东大桥三角地5号楼院7幢
朝阳区,北京市朝阳区朝花幼儿园（双合东园）,事业单位,事业单位,北京市朝阳区垡头街道双合家园D区6号院1号楼
朝阳区,北京市朝阳区朝花幼儿园（北焦园）,事业单位,事业单位,北京市朝阳区化工路甲1号燕保北焦家园
朝阳区,北京市朝阳区朝花幼儿园（锦安园）,事业单位,事业单位,北京市朝阳区康居南街3号院1号楼、2号楼
朝阳区,北京市朝阳区朝花幼儿园（金泰丽富园）,事业单位,事业单位,北京市朝阳区康居中街15号院1号楼
朝阳区,北京市朝阳区朝花幼儿园（铁科园）,事业单位,事业单位,北京市朝阳区环博路2号院
朝阳区,北京市朝阳区德育苑幼儿园,民办,民办,北京市朝阳区怡慧街3号楼
朝阳区,北京市朝阳区十八里店乡周庄嘉园幼儿园,集体,集体,北京市朝阳区十八里店乡周庄嘉园东里B区
朝阳区,北京市朝阳区春宇凤凰苑幼儿园,民办,民办,北京市朝阳区曙光西里甲五号23号院
朝阳区,北京市朝阳区三里屯幼儿园,教育部门,地级教育部门,北京市朝阳区朝外大街吉庆里3号楼
朝阳区,北京市朝阳区团结湖第一幼儿园,教育部门,地级教育部门,北京市朝阳区团结湖北头条11号
朝阳区,北京市朝阳区福怡苑幼儿园,教育部门,地级教育部门,北京市朝阳区定福庄北街福怡苑小区6号楼
朝阳区,北京市朝阳区水碓北里幼儿园,教育部门,地级教育部门,朝阳区水碓北里10号楼
朝阳区,北京市朝阳区水碓北里幼儿园-分园,教育部门,地级教育部门,北京市朝阳区水碓子东路5号楼
朝阳区,北京市朝阳区枣营幼儿园,教育部门,地级教育部门,北京市朝阳区枣营北里26号楼
朝阳区,北京市朝阳区新源里幼儿园,教育部门,地级教育部门,朝阳区新源里12号
朝阳区,北京市朝阳区新源里幼儿园 - 分园,教育部门,地级教育部门,朝阳区新源西里中街17号
朝阳区,北京市朝阳区新源里第二幼儿园,教育部门,地级教育部门,三源里北小街7号
