区,幼儿园名称,办园性质,举办者,幼儿园地址
海淀区,中国人民解放军国防大学幼儿园（复兴园）,部队,部队,北京市海淀区万寿路28号院
海淀区,住房和城乡建设部幼儿园,其他部门,省级其他部门,北京市海淀区甘家口街道三里河路9号
海淀区,核工业第二研究设计院幼儿园,事业单位,事业单位,北京市海淀区马神庙1号
海淀区,北京明天幼稚集团,教育部门,地级教育部门,北京市海淀区迎春园甲7号
海淀区,北京明天幼稚集团一幼塔院园,教育部门,地级教育部门,北京市海淀区塔院小区迎春园甲7号
海淀区,北京明天幼稚集团二幼双榆树园,教育部门,地级教育部门,北京市海淀区双榆树东里36号
海淀区,北京明天幼稚集团二幼南区园,教育部门,地级教育部门,北京市海淀区双榆树南里1号
海淀区,北京明天幼稚集团三幼志强园,教育部门,地级教育部门,海淀区文慧路志强北园小区 
海淀区,北京明天幼稚集团三幼学院路园,教育部门,地级教育部门,北京市海淀区蓟门里小区明天三幼学院路园
海淀区,北京明天幼稚集团四幼知春里园,教育部门,地级教育部门,北京市海淀区双榆树北路63号
海淀区,北京明天幼稚集团五幼万泉河园,教育部门,地级教育部门,海淀区稻香园北社区五幼万泉河园
海淀区,北京明天幼稚集团五幼东升园,教育部门,地级教育部门,北京市海淀区五道口东升园公寓5号楼
海淀区,北京明天幼稚集团六幼金沟河园,教育部门,地级教育部门,海淀区金沟河路3号院
海淀区,北京明天幼稚集团六幼小灵通园,教育部门,地级教育部门,北京市海淀区采石路玉海园五里21号楼
海淀区,北京明天幼稚集团七幼定西园,教育部门,地级教育部门,北京市海淀区定慧西里19号楼
海淀区,北京明天幼稚集团七幼百合花园,教育部门,地级教育部门,北京市海淀区车道沟南里小区
海淀区,北京明天幼稚集团七幼沙沟园,教育部门,地级教育部门,北京市海淀区万寿路一号院
海淀区,北京明天幼稚集团八幼上地园,教育部门,地级教育部门,北京市海淀区上地东里小区一区
海淀区,北京明天幼稚集团八幼佳园园,教育部门,地级教育部门,北京市海淀区上地佳园22号楼
海淀区,北京明天幼稚集团九幼永泰园,教育部门,地级教育部门,北京市市辖区海淀区西三旗街道永泰东里社区
海淀区,北京明天幼稚集团九幼安宁里园,教育部门,地级教育部门,北京市海淀区安宁里小区9号
海淀区,北京明天幼稚集团九幼锦顺园,教育部门,地级教育部门,北京市海淀区安宁庄路西三条九号
海淀区,北京明天幼稚集团十幼铁路园,教育部门,地级教育部门,北京市海淀区双贝子坟路3号
海淀区,9511联合社区幼儿园,部队,部队,海淀区西三旗建材城西路85号院
海淀区,北京林业大学幼儿园,事业单位,事业单位,海淀区清华东路35号
海淀区,北京市海淀区中关村街道第一幼儿园,集体,集体,北京市海淀区中关村北一街甲十三楼
海淀区,北京市海淀区本真幼儿园,民办,民办,北京市海淀区学院路二里庄小区内
海淀区,北京邮电大学幼儿园,事业单位,事业单位,北京市海淀区西土城路10号
海淀区,北京市海淀区现代睿智融合幼儿园,民办,民办,北京市海淀区知春路罗庄西里7号楼现代艺术幼儿园
海淀区,中国人民解放军空军装备研究院蓝天幼儿园,部队,部队,北京市海淀区安宁庄路11号院
海淀区,北京市海淀外国语实验学校附属幼儿园,民办,民办,北京市海淀区杏石口路20号
海淀区,中国航发北京航空材料研究院幼儿园,地方企业,省级其他部门,北京市海淀区温泉镇环山村
海淀区,北京育新实验幼儿园,事业单位,事业单位,北京市海淀区西三旗育新花园22号
海淀区,北京市海淀区北太平庄街道蓟门里幼儿园,集体,集体,北京市海淀区学院路蓟门里小区甲一号
海淀区,中央军委机关事务管理总局红星幼儿园（万寿路园）,部队,部队,北京市海淀区复兴路24号院
海淀区,中国科学院第七幼儿园,事业单位,事业单位,天秀花园古月园10号楼
海淀区,北京市海淀区英才美丽园幼儿园,民办,民办,北京市海淀区五棵松路20号
海淀区,航天机关幼儿园,事业单位,事业单位,海淀区阜成路8号院
海淀区,中国农业大学东校区幼儿园,事业单位,事业单位,海淀区清华东路17号
海淀区,北京岭南幼儿园,民办,民办,北京市海淀区定慧东里34号楼
海淀区,中国农业大学西校区幼儿园,事业单位,事业单位,圆明园西路3号院
海淀区,中国人民解放军63919部队幼儿园,部队,部队,北京市海淀区圆明园西路一号院
海淀区,北京市海淀区海淀镇中心幼儿园,集体,集体,北京市海淀区厢黄旗东路柳浪家园南里49号楼
海淀区,北京语言大学幼儿园,事业单位,事业单位,北京市海淀区学院路15号
海淀区,北京市海淀区四季青镇巨山幼儿园,集体,集体,北京市海淀区田村北路101号巨山幼儿园
海淀区,北京市海淀区长河湾汇佳幼儿园,民办,民办,北京市海淀区高粱桥斜街59号长河湾小区
海淀区,中央军委机关事务管理总局红星幼儿园（太平路园）,部队,部队,北京市海淀区太平路31号
海淀区,北京交通大学幼儿园,事业单位,事业单位,北京市海淀区高粱桥斜街44号
海淀区,中国人民武装警察部队总部机关幼儿园,部队,部队,北京市海淀区万泉庄16号楼
海淀区,北京市海淀区世纪新汇佳幼儿园,民办,民办,北京市海淀区蓝靛厂西路三号
海淀区,中共中央办公厅警卫局万寿路幼儿园,部队,部队,海淀区万寿路甲5号2号院
海淀区,中国人民解放军国防大学幼儿园（玉泉园）,部队,部队,北京市海淀区复兴路83号院幼儿园
海淀区,北京市海淀区中科幼教中关村实验幼儿园,民办,民办,北京市海淀区中国科学院东南小区西区甲932幢
海淀区,北京市六一幼儿院,教育部门,地级教育部门,北京市海淀区青龙桥六间房1号
海淀区,北京市六一幼儿院西山庭院院区,教育部门,地级教育部门,海淀区肖家河西山庭院小区
海淀区,北京市六一幼儿院西三旗院区,教育部门,地级教育部门,北京市海淀区西三旗建材城翡丽铂庭三区
海淀区,北京市海淀区英才幼儿园,民办,民办,海淀区北四环中路志新村小区12号
海淀区,中国科学院第一幼儿园,其他部门,省级其他部门,北京市海淀区中关村科源小区24楼旁
海淀区,中国科学院第一幼儿园北斗分园,其他部门,省级其他部门,北京市海淀区北清路22号院
海淀区,北京市海淀区北太平庄街道威凯幼儿园,集体,集体,北京市海淀区北太平庄红联南村3号
海淀区,中央军委机关事务管理总局红星幼儿园（花园路园）,部队,部队,海淀区北三环中路69号
海淀区,北京市海淀区四季青镇北坞幼儿园,集体,集体,北京市海淀区四季青镇北坞嘉园南里37号楼
海淀区,北京市海淀区恩济里幼儿园,教育部门,事业单位,北京海淀区恩济里小区10号恩济里幼儿园
海淀区,北京市海淀区恩济里幼儿园八宝庄分园,教育部门,地级教育部门,北京海淀区恩济里小区10号恩济里幼儿园
海淀区,北京市海淀区红缨幼儿园,民办,民办,北京市海淀区马连洼街道百旺家园西区39号
海淀区,北京市海淀区万泉汇佳幼儿园,民办,民办,北京市海淀区巴沟南路35号
海淀区,中国科学院第三幼儿园,事业单位,事业单位,北京市海淀区中关村南一街二号
海淀区,中国科学院第三幼儿园杏林湾分园,其他部门,事业单位,北京市海淀区北清路永丰嘉园三区32号
海淀区,中国科学院第三幼儿园北一街分园,事业单位,事业单位,北京市海淀区中关村北一街4号
海淀区,中国科学院第三幼儿园翠湖分园,其他部门,事业单位,北京市海淀区紫郡兰园西门向北200米
海淀区,中国科学院第三幼儿园上郡分园,事业单位,事业单位,北京市海淀区上庄镇沙阳路海淀上郡小区内幼儿园
海淀区,中国科学院第三幼儿园西北旺分园,事业单位,事业单位,北京市海淀区大牛坊三巷与大牛坊一环路交接处
海淀区,中国科学院第三幼儿园科学城北区分园,其他部门,中国科学院,
海淀区,中国科学院第三幼儿园小月河分园,事业单位,事业单位,北京市海淀区石板房南路双泉嘉苑
海淀区,中国科学院第三幼儿园北安河分园,事业单位,事业单位,北京市海淀区安河家园五里北侧
海淀区,中国科学院第三幼儿园上庄分园,事业单位,事业单位,北京市海淀区馨悦家园东区西南角（临街）
海淀区,中国科学院第三幼儿园前沙涧分园,事业单位,事业单位,北京市海淀区苏家坨镇前沙涧S1-1地块
海淀区,中国科学院第三幼儿园东升分园,事业单位,事业单位,北京市海淀区东升科技园北街18号文晟家园7号楼
海淀区,中国科学院幼儿园,事业单位,事业单位,海淀区中关村北二街4号水清木华园7号楼
海淀区,中央军委机关事务管理总局红星幼儿园（玉泉路园）,部队,部队,海淀区玉泉路68号院
海淀区,北京师范大学实验幼儿园,事业单位,事业单位,海淀区新街口外大街19号
海淀区,北京师范大学实验幼儿园龙樾分园,事业单位,事业单位,海淀区清河小营文龙家园三里8号楼
海淀区,北京师范大学实验幼儿园明光分部,事业单位,事业单位,海淀区北太平庄街道明光村小区
海淀区,中国音乐学院附属幼儿园,事业单位,事业单位,北京市海淀区八里庄北里15号
海淀区,中国音乐学院附属幼儿园健翔园,事业单位,事业单位,北京市海淀区北四环中路209健翔园小区H座
海淀区,北京有色金属研究总院幼儿园,地方企业,省级其他部门,新街口外大街3号院
海淀区,北京有色金属研究总院幼儿园分园,地方企业,省级其他部门,北三环中路43号院18号楼
海淀区,北京市二十一世纪实验幼儿园,民办,民办,北京市海淀区 恩济庄46号
海淀区,北京市海淀区人民政府机关幼儿园,其他部门,地级其他部门,北京市海淀区知春东里14号楼
海淀区,中国气象局幼儿园,事业单位,事业单位,海淀区中关村南大街46号
海淀区,新华社机关事务管理局保育院,事业单位,事业单位,北京市海淀区羊坊店路3号院
海淀区,北京市海淀区四季青香山幼儿园,集体,集体,北京市海淀区香山普安店240号
海淀区,北京市海淀区世纪阳光幼儿园,民办,民办,海淀区板井路73号
海淀区,中国人民解放军63921部队幼儿园,部队,部队,北京市海淀区北清路26号院内
海淀区,中国人民解放军火箭军机关幼儿园,部队,部队,海淀清河小营西路30号院
海淀区,中央军委机关事务管理总局红星幼儿园（复兴路园）,部队,部队,北京市海淀区复兴路20号
海淀区,中国林业科学研究院幼儿园,事业单位,事业单位,北京市海淀区东小府2号东院
海淀区,中国人民解放军军事科学院幼儿园（阜成园）,部队,部队,北京海淀区阜成路26号
海淀区,北京市清华洁华幼儿园,事业单位,事业单位,北京市海淀区清华大学校内洁华幼儿园
海淀区,北京市清华洁华幼儿园双清苑分园,事业单位,事业单位,北京市 海淀区双清路双清苑小区
海淀区,中国人民解放军国防大学幼儿园（红山园）,部队,部队,红山口甲3号国防大学
海淀区,中国人民解放军95968部队幼儿园,部队,部队,北京市海淀区昆明湖南路甲7号院
海淀区,中国人民解放军军事科学院幼儿园（复兴园）,部队,部队,北京市海淀区太平路27号院
海淀区,中央军委机关事务管理总局红星幼儿园（五棵松园）,部队,部队,北京市海淀区复兴路26号院
海淀区,空军指挥学院蓝天幼儿园,部队,部队,北京市海淀区北四环西路88号
海淀区,中国人民解放军61886部队幼儿园,部队,部队,北京市海淀区信息路33号
海淀区,北京航空航天大学幼儿园,事业单位,事业单位,北京市海淀区学院路37号
海淀区,首都师范大学附属幼儿园,事业单位,事业单位,海淀区西三环北路105号
海淀区,首都师范大学附属幼儿园八宝庄分园,事业单位,事业单位,北京市海淀区八宝庄33号
海淀区,北京大学医学部幼儿园,事业单位,事业单位,北京市海淀区学院路38号
海淀区,北京市海淀区幼辰幼儿园,民办,民办,海淀区清河小营阳光北里1号楼
海淀区,北京市海淀区布朗幼儿园,民办,民办,北京市海淀区魏公街1号韦伯豪家园10号楼
海淀区,北京市海淀区美华彩苑外国语幼儿园,民办,民办,北京市海淀区北坞村路23号
海淀区,北京市海淀区凯蒂幼儿园,民办,民办,北京市海淀区西二旗西路2号院86号楼
海淀区,北京市海淀区锦绣明天莲宝幼儿园,民办,民办,北京市海淀区吴家村路10号院甲1号楼
海淀区,北京市海淀区上庄科技园区幼儿园,教育部门,地级教育部门,北京市海淀区三嘉南街41号院
海淀区,北京市海淀区立新幼儿园,教育部门,地级教育部门,田村砂石厂路柳明家园西区38号
海淀区,北京市海淀区立新幼儿园环保园分园,教育部门,地级教育部门,温泉镇地锦路阅西山家园9号楼
海淀区,北京市海淀区立新幼儿园环保园分园分址,教育部门,地级教育部门,温泉镇地锦路阅西山家园小区2号楼
海淀区,北京市海淀区立新幼儿园温泉园,教育部门,地级教育部门,北京市海淀区温泉镇杨家庄
海淀区,钢铁研究总院幼儿园,其他部门,省级其他部门,北京市海淀区高粱桥斜街13号院甲27号
海淀区,北京馨星幼儿园,集体,集体,四季青镇香山南路实验四小旁
海淀区,中国农业科学院幼儿园,事业单位,事业单位,中关村南大街12号
海淀区,中国铁道科学研究院集团有限公司幼儿园,事业单位,事业单位,海淀区西直门外大柳树路2号
海淀区,中国人民解放军海军机关幼儿园,部队,部队,北京市海淀区西三环中路19号
海淀区,北京市海淀区太阳幼儿园,民办,民办,北京市海淀区大钟寺太阳园小区7号楼
海淀区,北京市海淀区太阳幼儿园（太月园）,民办,民办,北京市海淀区太阳幼儿园（太月园）
海淀区,北京五色土幼儿园,地方企业,省级其他部门,北京市海淀区三里河路五号院内
海淀区,兵器工业机关服务中心幼儿园,事业单位,事业单位,北京市海淀区车道沟十号院兵器社区
海淀区,中国人民大学幼儿园,事业单位,事业单位,北京市海淀区蓝靛厂中路19号
海淀区,中国人民大学幼儿园西三旗分园,事业单位,事业单位,北京市海淀区西三旗菁盈路6号院
海淀区,中国人民大学幼儿园苏州街分园,事业单位,事业单位,海淀区苏州街三号大河庄苑8号楼
海淀区,中国人民大学幼儿园田村分园,事业单位,事业单位,北京市海淀区田村路43号
海淀区,中国人民解放军32069部队机关幼儿园,部队,部队,海淀区厢红旗
海淀区,北京理工大学幼儿园,事业单位,事业单位,海淀区中关村南大街5号院
海淀区,北京市银河之星幼儿园,地方企业,省级其他部门,万寿路八宝庄252号
海淀区,北京阳光儿童早期教育实验中心幼儿园,民办,民办,北京市海淀区万寿路街道翠微北里10号
海淀区,北京市海淀区立新幼儿园分园航天之星幼儿园,事业单位,事业单位,北京市海淀区永定路正大南路6号
海淀区,北京市城市河湖管理处玉樱幼儿园,其他部门,省级其他部门,海淀区西三环中路10号（玉渊潭公园南门）内
海淀区,国家机关事务管理局花园村幼儿园,其他部门,省级其他部门,北京市海淀区增光路51号
海淀区,中国人民解放军总医院第六医学中心幼儿园,部队,部队,阜成路6号
海淀区,中央民族大学幼儿园,事业单位,事业单位,海淀区法华寺原址
海淀区,北京市海淀区紫竹院街道第二幼儿园,集体,集体,北京市海淀区魏公村小区16楼西侧
海淀区,中国石油集团科学技术研究院幼儿园,事业单位,事业单位,北京市海淀区学院路20号
海淀区,北京科技大学幼儿教育中心,事业单位,事业单位,海淀区西三旗宝盛西里26号楼
海淀区,北京科技大学幼儿教育中心学院路分园,事业单位,事业单位,海淀区学院路30号十区
海淀区,北京市育龙幼儿园,民办,民办,北京市海淀区清华东路东王庄小区七号
海淀区,北京市海淀区未来之星幼儿园,民办,民办,海淀区学院路14号新区
海淀区,北京市海淀区学院路街道展春园幼儿园,集体,集体,北京市海淀区展春园小区20号
海淀区,北京市海淀区海淀街道厂洼幼儿园,集体,集体,北京市海淀区厂洼小区5号楼西侧
海淀区,中国人民解放军61046部队幼儿园,部队,部队,北京市海淀区青龙桥街道办事处遗光寺社区居委会
海淀区,北京大学附属幼儿园,事业单位,事业单位,北京市海淀区北京大学燕东园26号
海淀区,北京大学附属幼儿园（蔚秀分园）,事业单位,事业单位,北京市海淀区北京大学蔚秀园内
海淀区,北京大学附属幼儿园新馨园（北园）,事业单位,事业单位,海淀区建材城西路16号新馨苑小区内
海淀区,中国人民解放军北京军区炮兵幼儿园,部队,部队,北京市海淀区香山南路红旗村4号院
海淀区,中国人民解放军总装备部后勤部小营幼儿园,部队,部队,北京市海淀区安宁庄东路28号院5号楼
海淀区,北京市海淀区领秀硅谷凯尔宝宝幼儿园,民办,民办,北京市海淀区西二旗中路领秀硅谷A区6号楼
海淀区,北京市海淀区朝昭幼儿园,民办,民办,北京市海淀区西三旗东路3号沁春家园内
海淀区,北京市海淀区凯尔宝宝幼儿园,民办,民办,北京市海淀区西三旗花园二里11号楼
海淀区,北京市海淀区四季青镇常青幼儿园,集体,集体,北京市海淀区四季青镇东冉村443号
海淀区,北京市海淀区四季青镇常青幼儿园田村分园,集体,集体,北京市海淀区田村街道馥霞里5号
海淀区,北京市海淀区四季青镇常青幼儿园蓝靛厂分园,集体,集体,北京市海淀区四季青镇东冉村443号
海淀区,北京市海淀区世纪汇佳幼儿园,民办,民办,北京市海淀区四季青昆明湖南路62号
海淀区,北京市海淀区四季青育红幼儿园,集体,集体,北京市海淀区田村北路162号
海淀区,北京市海淀区二十一世纪实验幼儿园,民办,民办,北京市海淀区曙光花园望河园8号楼
海淀区,北京市海淀区小星星幼儿园,集体,集体,海淀区马连洼梅园小区一号
海淀区,北京市海淀区小星星幼儿园菊园分园,集体,集体,北京市海淀区马连洼菊园小区
海淀区,北京市海淀区西北旺屯佃村幼儿园,集体,集体,北京市海淀区西北旺镇屯佃村
海淀区,北京市海淀区翠湖幼儿园,集体,集体,海淀区上庄镇
海淀区,北京市海淀区苏家坨镇中心幼儿园,集体,集体,北京市海淀区苏家坨镇北安河村
海淀区,北京市海淀区北部新区实验幼儿园,教育部门,地级教育部门,北京市海淀区温泉镇白家疃西口
海淀区,北京市海淀区北部新区实验幼儿园凯盛园,教育部门,地级教育部门,北京市海淀区
海淀区,北京市海淀区北部新区实验幼儿园天阅园,教育部门,地级教育部门,海淀区西北旺镇丰秀东路9号院15号楼
