区,幼儿园名称,办园性质,举办者,幼儿园地址,source_row,geocode_query,lon_wgs84,lat_wgs84,geocode_status
海淀区,中国人民解放军国防大学幼儿园（复兴园）,部队,部队,北京市海淀区万寿路28号院,1,北京市海淀区万寿路28号院,116.2921,39.898406,ok
海淀区,住房和城乡建设部幼儿园,其他部门,省级其他部门,北京市海淀区甘家口街道三里河路9号,2,北京市海淀区甘家口街道三里河路9号,116.324621,39.929701,ok
海淀区,核工业第二研究设计院幼儿园,事业单位,事业单位,北京市海淀区马神庙1号,3,北京市海淀区马神庙1号,116.302321,39.924813,ok
海淀区,北京明天幼稚集团,教育部门,地级教育部门,北京市海淀区迎春园甲7号,4,北京市海淀区迎春园甲7号,116.354225,39.977537,ok
海淀区,北京明天幼稚集团一幼塔院园,教育部门,地级教育部门,北京市海淀区塔院小区迎春园甲7号,5,北京市海淀区塔院小区迎春园甲7号,116.354225,39.977537,ok
海淀区,北京明天幼稚集团二幼双榆树园,教育部门,地级教育部门,北京市海淀区双榆树东里36号,6,北京市海淀区双榆树东里36号,116.320673,39.967539,ok
海淀区,北京明天幼稚集团二幼南区园,教育部门,地级教育部门,北京市海淀区双榆树南里1号,7,北京市海淀区双榆树南里1号,116.323455,39.964146,ok
海淀区,北京明天幼稚集团三幼志强园,教育部门,地级教育部门,海淀区文慧路志强北园小区 ,8,北京市海淀区文慧路志强北园小区,116.291624,39.958634,ok
海淀区,北京明天幼稚集团三幼学院路园,教育部门,地级教育部门,北京市海淀区蓟门里小区明天三幼学院路园,9,北京市海淀区蓟门里小区明天三幼学院路园,116.34712,39.990709,ok
海淀区,北京明天幼稚集团四幼知春里园,教育部门,地级教育部门,北京市海淀区双榆树北路63号,10,北京市海淀区双榆树北路63号,116.314558,39.973076,ok
海淀区,北京明天幼稚集团五幼万泉河园,教育部门,地级教育部门,海淀区稻香园北社区五幼万泉河园,11,北京市海淀区稻香园北社区五幼万泉河园,116.302364,39.974248,ok
海淀区,北京明天幼稚集团五幼东升园,教育部门,地级教育部门,北京市海淀区五道口东升园公寓5号楼,12,北京市海淀区五道口东升园公寓5号楼,116.32999,39.98876,ok
海淀区,北京明天幼稚集团六幼金沟河园,教育部门,地级教育部门,海淀区金沟河路3号院,13,北京市海淀区金沟河路3号院,116.263683,39.917673,ok
海淀区,北京明天幼稚集团六幼小灵通园,教育部门,地级教育部门,北京市海淀区采石路玉海园五里21号楼,14,北京市海淀区采石路玉海园五里21号楼,116.252086,39.920679,ok
海淀区,北京明天幼稚集团七幼定西园,教育部门,地级教育部门,北京市海淀区定慧西里19号楼,15,北京市海淀区定慧西里19号楼,116.275559,39.921231,ok
