序号,运营商,充电站点标准名称,服务类型,区县具体地址,快充接口数,慢充接口数,地域范围,所在地类型
1,中石化,广泽桥加油充电站,社会公用,朝阳区望京地区屏翠东路，北五环内环望京出口（地上）,4,0,四环至五环,其他
2,金银建科技,银建黑石头营运基地电动车充电站,社会公用,北京市石景山区石府路甲2号,10,0,五环至六环,其他
3,华商三优,通州区潞城公共充电站,社会公用,通州区通湖路六环桥下武夷花园月季雅园附近,52,102,五环至六环,经营性场所
4,畅的智能,嘉捷恒信,社会公用,西环南路26号院蜜糖门店外,3,4,五环至六环,商业区
5,富电易充,华贸中心公寓充电站,社会公用,华贸16号商务楼B3停车场,7,16,三环至四环,商业区
6,特来电,北京亦城国际充电站,社会公用,北京市经济技术开发区荣华中路10号,4,7,五环至六环,商业区
7,中石油昆仑网电,巨石大厦,社会公用,东城区新中西里13号,3,0,二环至三环,写字楼办公区
8,中石油昆仑网电,北京东方喜庆大酒店,社会公用,朝阳区东四环小武基往北200米南大山子8号 东四环南路小武基桥北前行200米 酒店进门右侧停车场 ,1,3,四环至五环,酒店宾馆
9,中石油昆仑网电,民兵武器装备陈列馆,社会公用,通州区京杭大运河源头，永顺镇焦五庄北口（武器装备陈列馆）,4,3,五环至六环,政府机构
10,依威能源,蜂鸟社区商业楼,社会公用,海淀区万柳中路33号,0,2,三环至四环,商业区
11,特来电,北京亦庄生物医药园地上停车场充电站,社会公用,北京市市辖区通州区经济开发区路东区科创六街88号(地面),2,6,五环至六环,科技园区
12,中石油昆仑网电,加速器一区,社会公用,海淀区北清路99号永丰产业基地,2,0,五环至六环,产业园区
13,依威能源,北方中惠国际大厦,社会公用,石景山区鲁谷大街,0,5,四环至五环,商务办公区
14,中石油昆仑网电,科创基地,社会公用,朝阳区将台路5号首信大厦 国能中心：7快3慢16号楼北停车场：12快5慢,12,5,四环至五环,教育院校
15,中石油昆仑网电,北京西站地下停车场,社会公用,丰台区西三环莲花桥东部 南广场地下停车场F区,2,0,二环至三环,交通枢纽
16,中石油昆仑网电,希尔顿酒店,社会公用,朝阳区东三环北路东方路1号地下停车场 ,1,1,三环至四环,酒店宾馆
17,中石油昆仑网电,万兴家居广场,社会公用,丰台区南三环80号玉泉营桥西万兴家居广场,15,2,四环至五环,商业区
18,中石油昆仑网电,金益大厦,社会公用,西城区金融大街4号,4,0,二环至三环,商业区
19,中石油昆仑网电,强佑集团总部,社会公用,东城区民旺园31号楼 美廉美超市和平新城店门口,3,2,二环至三环,商业区
20,中石油昆仑网电,凯宾斯基酒店,社会公用,怀柔区雁栖湖雁水路甲18号,0,4,二环至三环,酒店宾馆
21,中石油昆仑网电,澳门中心,社会公用,东城区金鱼胡同王府井东街8号地下B2停车场 6快4慢地上停车场 2快,8,4,二环至三环,商业区
22,中石油昆仑网电,汇智大厦,社会公用,海淀区学清路9号汇智大厦进门右转,2,0,四环至五环,写字楼办公区
23,中石油昆仑网电,宋庄美术馆,社会公用,宋庄艺术园区内西北角停车场,2,4,六环外,旅游景点
24,中石油昆仑网电,博雅资源中心,社会公用,昌平区北清路中关村生命科学园路4号院,5,5,五环至六环,商业区
25,中石油昆仑网电,星火科技大厦,社会公用,丰台区富丰路2号,6,2,四环至五环,科技园区
26,首钢充电,首钢机电公司充电点,社会公用,石景山区古城西路183号首钢机电,1,2,五环至六环,商务办公区
27,中石油昆仑网电,永昌工业园,社会公用,大兴区亦庄经济技术开发区永昌北路3号院内7号楼东侧停车场,8,2,五环至六环,工业园区/厂区
28,中石油昆仑网电,加速器二区,社会公用,北京海淀区北清路99号由东门进右转即到,6,0,四环至五环,科技园区
29,中石油昆仑网电,普天大厦,社会公用,海淀北二街6号普天大厦地面停车场,9,0,三环至四环,商务办公区
30,中石油,奥东加油站,社会公用,北京市朝阳区来广营东路奥东加油站,2,0,五环至六环,其他
31,畅的智能,科创三街3号院,社会公用,亦庄科创三街3号院,6,0,五环至六环,工业园区/厂区
32,易卡充电科技,易卡充电(红木街),社会公用,北京市丰台区西三环南路,0,8,三环至四环,商业区
33,北京电力公司,北京市顺义区牛栏山供电所公共充电站,社会公用,北京市顺义区牛栏山镇牛富路牛山段8号先进村北,2,0,六环外,企事业单位
34,北京电力公司,北京市顺义区仁和供电所公共充电站,社会公用,北京市顺义区仁和镇米各庄村北，顺义区南二环路仁和镇米各庄村北仁和供电所,2,0,六环外,企事业单位
35,北京电力公司,北京市顺义区天竺供电所公共充电站,社会公用,北京市顺义区天竺镇小王辛庄南路6号,2,0,五环至六环,企事业单位
36,北京电力公司,北京市大兴区采育供电所公共充电站,社会公用,北京市大兴区采育镇119消防向东500米采育供电所,2,0,六环外,企事业单位
37,北京电力公司,北京市门头沟区龙泉供电所公共充电站,社会公用,北京市门头沟区城子大街3号,2,0,六环外,企事业单位
38,北京电力公司,北京市通州区京田建筑公司公共充电站,社会公用,北京市通州区梨园南街京田建筑公司院外,5,0,五环至六环,工业园区/厂区
39,北京电力公司,北京市门头沟区门头沟供电公司公共充电站,社会公用,北京市门头沟区滨河路66号门头沟供电公司,2,0,六环外,企事业单位
40,北京电力公司,北京市门头沟区妙峰山供电所公共充电站,社会公用,北京市门头沟区陇家庄村坟上268京西酒店对面,2,0,六环外,企事业单位
41,北京电力公司,北京市大兴区念坛公园东门公共充电站,社会公用,北京市大兴区兴源大街念坛公园东门停车场,5,0,五环至六环,城市公园绿地
42,北京电力公司,北京市门头沟区清水供电所公共充电站,社会公用,北京市门头沟区清水镇上清水村892清水镇政府下车,2,0,六环外,企事业单位
