序号,运营商,充电站点标准名称,服务类型,区县具体地址,快充接口数,慢充接口数,地域范围,所在地类型
10,依威能源,蜂鸟社区商业楼,社会公用,海淀区万柳中路33号,0,2,三环至四环,商业区
12,中石油昆仑网电,加速器一区,社会公用,海淀区北清路99号永丰产业基地,2,0,五环至六环,产业园区
22,中石油昆仑网电,汇智大厦,社会公用,海淀区学清路9号汇智大厦进门右转,2,0,四环至五环,写字楼办公区
28,中石油昆仑网电,加速器二区,社会公用,北京海淀区北清路99号由东门进右转即到,6,0,四环至五环,科技园区
29,中石油昆仑网电,普天大厦,社会公用,海淀北二街6号普天大厦地面停车场,9,0,三环至四环,商务办公区
81,北京电力公司,北京市海淀区京仪大厦地面公共充电站,社会公用,北京市海淀区大钟寺东路9号京仪宾馆地面停车场,2,0,四环至五环,工业园区/厂区
83,北京电力公司,北京市海淀区清华大学汽车所公共充电站,社会公用,北京市海淀区清华大学校内汽车工程系停车场,1,4,四环至五环,教育院校
84,北京电力公司,北京市海淀区首都师范大学北1区公共充电站,社会公用,北京市海淀区西三环北洼路首都师范大学北1区文科楼停车场（南门西侧文学院旁）,4,0,三环至四环,教育院校
85,北京电力公司,北京市海淀区首都师范大学东校区学生食堂公共充电站,社会公用,北京市海淀区阜外大街北堆子甲23号院首都师范大学东校区学生食堂外,6,0,二环至三环,教育院校
86,北京电力公司,北京市海淀区腾达大厦地下公共充电站,社会公用,"北京市海淀区西直门外大街168号，腾达大厦地下停车场（B1地下车库015.016.017,021-030)",5,0,二环至三环,工业园区/厂区
105,北京电力公司,北京市海淀区翠微商场公共充电站,社会公用,北京市海淀区花园路2号翠微商场西门入口左侧,0,3,三环至四环,商业区
106,北京电力公司,北京市海淀区牡丹电子集团公共充电站,社会公用,北京市海淀区花园路2号牡丹电子集团地面停车场东侧过道内,2,9,三环至四环,工业园区/厂区
118,北京电力公司,北京市海淀区东升科技园地下公共充电站,社会公用,北京市海淀区西小口路66号科技园创新中心地下B2停车场B区149-155号车位161-166车位,3,10,五环至六环,工业园区/厂区
119,北京电力公司,北京市海淀区清华科技园公共充电站,社会公用,北京市海淀区中关村东路1号谷歌大厦门口,3,22,四环至五环,工业园区/厂区
120,北京电力公司,北京市海淀区北京理工大学公共充电站,社会公用,北京市海淀区中关村南大街5号北京理工大学信息科技实验楼,2,24,二环至三环,教育院校
144,依威能源,万泉商务花园,社会公用,北京市海淀区万柳东路25号,0,5,三环至四环,商务办公区
151,依威能源,嘉友国际大厦,社会公用,北京市海淀区蓝靛厂南路25号,0,5,三环至四环,商务办公区
158,特来电,中科院软件园充电站,社会公用,北京市海淀区中关村南四街4号（地面）,4,5,三环至四环,科技园区
163,依威能源,数码大厦,社会公用,北京市海淀区中关村南大街2号院,0,9,二环至三环,商务办公区
164,依威能源,如家快捷酒店(北京苏州桥人民大学店),社会公用,北京市海淀区北三环西路甲49号,0,3,三环至四环,商务办公区
165,特来电,北京温泉村委会充电站,社会公用,北京市海淀区温泉镇温泉村民委员会,2,3,五环至六环,公共停车场
166,特来电,中国人民大学明德楼充电站,社会公用,北京市海淀区中关村大街59号中国人民大学明德楼地下车库二层,0,6,三环至四环,教育院校
179,星星充电,长峰假日酒店,社会公用,北京市海淀区永定路66号地下车库B1停车场、地面停车场,1,4,四环至五环,酒店宾馆
184,特来电,中国科技会堂北京充电站,社会公用,北京市海淀区复兴路3号,2,2,二环至三环,酒店宾馆
185,特来电,首都体育学院地上充电站,社会公用,北京市海淀北三环西路11,6,3,三环至四环,科研院所
190,星星充电,上地国际创业园,社会公用,北京市海淀区上地信息路2号国际创业园3号楼,5,9,五环至六环,写字楼办公区
