序号,运营商,充电站点标准名称,服务类型,区县具体地址,快充接口数,慢充接口数,地域范围,所在地类型,source_row,geocode_query,lon_wgs84,lat_wgs84,geocode_status
10,依威能源,蜂鸟社区商业楼,社会公用,海淀区万柳中路33号,0,2,三环至四环,商业区,1,北京市海淀区万柳中路33号,116.291706,39.96297,ok
12,中石油昆仑网电,加速器一区,社会公用,海淀区北清路99号永丰产业基地,2,0,五环至六环,产业园区,2,北京市海淀区北清路99号永丰产业基地,116.2498,40.075708,ok
22,中石油昆仑网电,汇智大厦,社会公用,海淀区学清路9号汇智大厦进门右转,2,0,四环至五环,写字楼办公区,3,北京市海淀区学清路9号汇智大厦进门右转,116.344833,40.018511,ok
28,中石油昆仑网电,加速器二区,社会公用,北京海淀区北清路99号由东门进右转即到,6,0,四环至五环,科技园区,4,北京市北京海淀区北清路99号由东门进右转即到,116.23648,40.073116,ok
29,中石油昆仑网电,普天大厦,社会公用,海淀北二街6号普天大厦地面停车场,9,0,三环至四环,商务办公区,5,北京市海淀北二街6号普天大厦地面停车场,116.305733,39.982318,ok
81,北京电力公司,北京市海淀区京仪大厦地面公共充电站,社会公用,北京市海淀区大钟寺东路9号京仪宾馆地面停车场,2,0,四环至五环,工业园区/厂区,6,北京市海淀区大钟寺东路9号京仪宾馆地面停车场,116.331982,39.970321,ok
83,北京电力公司,北京市海淀区清华大学汽车所公共充电站,社会公用,北京市海淀区清华大学校内汽车工程系停车场,1,4,四环至五环,教育院校,7,北京市海淀区清华大学校内汽车工程系停车场,116.320793,40.0019,ok
84,北京电力公司,北京市海淀区首都师范大学北1区公共充电站,社会公用,北京市海淀区西三环北洼路首都师范大学北1区文科楼停车场（南门西侧文学院旁）,4,0,三环至四环,教育院校,8,北京市海淀区西三环北洼路首都师范大学北1区文科楼停车场（南门西侧文学院旁）,116.318204,39.926554,ok
85,北京电力公司,北京市海淀区首都师范大学东校区学生食堂公共充电站,社会公用,北京市海淀区阜外大街北堆子甲23号院首都师范大学东校区学生食堂外,6,0,二环至三环,教育院校,9,北京市海淀区阜外大街北堆子甲23号院首都师范大学东校区学生食堂外,116.317836,39.924505,ok
86,北京电力公司,北京市海淀区腾达大厦地下公共充电站,社会公用,"北京市海淀区西直门外大街168号，腾达大厦地下停车场（B1地下车库015.016.017,021-030)",5,0,二环至三环,工业园区/厂区,10,"北京市海淀区西直门外大街168号，腾达大厦地下停车场（B1地下车库015.016.017,021-030)",116.321973,39.93667,ok
