机构名称,地址,邮政编码,区县代码,区县名称,经济类型名称,机构管理名称
北京大学医学部社区卫生服务中心,北京市海淀区学院路38号,100191,110108,海淀区,国有全资,非营利性医疗机构
北京航空航天大学社区卫生服务中心（北京航空航天大学医院）,北京市海淀区学院路37号,100191,110108,海淀区,国有全资,非营利性医疗机构
北京交通大学社区卫生服务中心（北京交通大学医院）,北京市海淀区西直门外上园村3号,100044,110108,海淀区,国有全资,非营利性医疗机构
北京科技大学社区卫生服务中心（北京科技大学医院）,海淀区学院路30号,100083,110108,海淀区,国有全资,非营利性医疗机构
北京理工大学社区卫生服务中心（北京理工大学医院）,海淀区中关村南大街5号,100081,110108,海淀区,国有全资,非营利性医疗机构
北京林业大学社区卫生服务中心（北京林业大学医院）,北京市海淀区清华东路35号,100083,110108,海淀区,国有全资,非营利性医疗机构
北京师范大学社区卫生服务中心（北京师范大学医院）,北京市海淀区新街口外大街19号,100875,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区八里庄街道北洼西里社区卫生服务站,北京市海淀区北洼西里双紫小区甲29-9、甲29-10、甲29-11、甲29-12、甲29-13,100089,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区八里庄街道定慧寺社区卫生服务站,北京市海淀区八里庄定慧北里27号楼5门102,100142,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区八里庄街道核二院社区卫生服务站,北京市海淀区马神庙一号,100840,110108,海淀区,集体全资,非营利性医疗机构
北京市海淀区八里庄街道亮甲店社区卫生服务站,北京市海淀区定慧家园北里（八里庄路63号院）2号楼首层,100142,110108,海淀区,集体全资,非营利性医疗机构
北京市海淀区八里庄社区卫生服务中心（北京市海淀区八里庄医院）,北京市海淀区阜外亮甲店1号恩济西园10号楼首层,100142,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区北安河社区卫生服务中心（北安河卫生院）,北京市海淀区北安河路8号,100095,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区北太平庄街道明光村社区卫生服务站,海淀区明光村小区19号楼1号,100088,110108,海淀区,集体全资,非营利性医疗机构
北京市海淀区北太平庄街道太月园社区卫生服务站,海淀区太月园小区10号楼地下一层,100088,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区北太平庄街道冶建院社区卫生服务站,北京市海淀区西土城路31号,100088,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区北太平庄街道有色金属研究总院社区卫生服务站,北京市海淀区新街口外大街3号,100088,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区北太平庄社区卫生服务中心（北京市海淀区北太平庄医院）,北京市海淀区文慧园6号楼,100088,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区北下关街道动物园社区卫生服务站,北京市海淀区北下关西外大街太平庄动物园家委会,100081,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区北下关街道钢研社区卫生服务站,北京市海淀区高粱斜街13号院内二层小楼,100081,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区北下关街道青云社区卫生服务站,北京市海淀区北三环西路40号,100086,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区北下关街道双安社区卫生服务站,北京市海淀区双榆树南里二里3号平房,100086,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区北下关街道皂君庙社区卫生服务站,北京市海淀区学院南路皂君东里,100081,110108,海淀区,集体全资,非营利性医疗机构
北京市海淀区北下关街道中国铁道科学研究院社区卫生服务站,北京市海淀区西直门外大柳树路2号,100081,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区北下关街道中央财经大学社区卫生服务站,海淀区学院南路39号院,100081,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区北下关社区卫生服务中心（北京市海淀区北下关医院）,北京市海淀区北下关财院东侧路,100081,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区东升镇八家嘉园社区卫生服务站,北京市海淀区东升镇八家嘉园19号楼地上一层,100085,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区东升镇宝盛里社区卫生服务站,北京市海淀区观林园B35号楼首层东侧,100192,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区东升镇社区卫生服务中心（北京市海淀区东升卫生院）,北京市海淀区东升镇潘庄村西路,100192,110108,海淀区,集体全资,非营利性医疗机构
北京市海淀区东升镇朱房前街社区卫生服务站,北京市海淀区清河朱房前街4号院,100192,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区甘家口街道财政局社区卫生服务站,北京市海淀区阜成路11号145栋一层101-109,100036,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区甘家口街道阜南社区卫生服务站,海淀区阜成路南街8号,100037,110108,海淀区,集体全资,非营利性医疗机构
北京市海淀区甘家口街道航天工业社区卫生服务站,北京市海淀区阜成路8号,100830,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区甘家口街道合建楼社区卫生服务站,海淀区车公庄西路45号,100044,110108,海淀区,集体全资,非营利性医疗机构
北京市海淀区甘家口街道花园村社区卫生服务站,海淀区车公庄西路花园村甲10号,100044,110108,海淀区,集体全资,非营利性医疗机构
北京市海淀区甘家口街道进口社区卫生服务站,海淀区三里河路5号院,100044,110108,海淀区,集体全资,非营利性医疗机构
北京市海淀区甘家口街道潘庄社区卫生服务站,北京市海淀区潘庄1号院附属服务楼一层,100048,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区甘家口街道水科院北院社区卫生服务站,北京市海淀区车公庄西路20号,100044,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区甘家口街道外文社区卫生服务站,海淀区紫竹院南路20号外文印刷厂宿舍,100044,110108,海淀区,集体全资,非营利性医疗机构
北京市海淀区甘家口街道西钓社区卫生服务站,北京市海淀区西三环中路11号,100142,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区甘家口社区卫生服务中心（北京市海淀区甘家口医院）,北京市海淀区增光路甲57号,100037,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区海淀街道小南庄社区卫生服务站,北京市海淀区小南庄小区31号楼,100086,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区海淀街道芙蓉里社区卫生服务站,北京市海淀区万泉路芙蓉里小区7号楼一层,100080,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区海淀乡功德寺社区卫生服务站,北京市海淀区海淀乡功德寺后营村六间房,100092,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区海淀镇社区卫生服务中心（北京市海淀区海淀卫生院）,海淀区西苑操场108号,100091,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区花园路街道1201社区卫生服务站,北京市海淀区花园路5号院11号楼南侧,100088,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区花园路街道北科欣兴社区卫生服务站,北京市海淀区花园路街道花园路3号院2号楼北侧平房,100088,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区花园路街道北影社区卫生服务站,北京市海淀区北三环中路77号,100088,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区花园路街道金尚嘉园社区卫生服务站,北京市海淀区花园路甲2号3号楼7-101,100088,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区花园路街道塔院社区卫生服务站,北京市海淀区塔院小区朗秋园3楼1门103,100088,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区花园路社区卫生服务中心,北京市海淀区马甸西路月季园小区,100088,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区蓟门里社区卫生服务中心(北京市海淀区蓟门里医院),北京市海淀区蓟门里小区内,100088,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区马连洼街道百旺茉莉园社区卫生服务站,北京市海淀区马连洼街道百旺茉莉园36号物业楼,100193,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区马连洼街道梅园社区卫生服务站,北京市海淀区梅园小区商务平房,100193,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区马连洼街道天秀花园社区卫生服务站,北京市海淀区天秀花园安和园11号楼,100193,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区马连洼街道肖家河社区卫生服务站,海淀区马连洼街道肖家河正黄旗1号,100091,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区马连洼街道竹园社区卫生服务站,北京市海淀区东北旺镇马连洼竹园小区综合楼112号,100194,110108,海淀区,其他,非营利性医疗机构
北京市海淀区聂各庄卫生院,聂各庄路26号,100194,110108,海淀区,国有全资,非营利性医疗机构
