机构名称,地址,邮政编码,区县代码,区县名称,经济类型名称,机构管理名称,source_row,geocode_query,lon_wgs84,lat_wgs84,geocode_status
北京大学医学部社区卫生服务中心,北京市海淀区学院路38号,100191,110108,海淀区,国有全资,非营利性医疗机构,1,北京市海淀区学院路38号,116.351698,39.983387,ok
北京航空航天大学社区卫生服务中心（北京航空航天大学医院）,北京市海淀区学院路37号,100191,110108,海淀区,国有全资,非营利性医疗机构,2,北京市海淀区学院路37号,116.344749,39.979269,ok
北京交通大学社区卫生服务中心（北京交通大学医院）,北京市海淀区西直门外上园村3号,100044,110108,海淀区,国有全资,非营利性医疗机构,3,北京市海淀区西直门外上园村3号,116.335963,39.949875,ok
北京科技大学社区卫生服务中心（北京科技大学医院）,海淀区学院路30号,100083,110108,海淀区,国有全资,非营利性医疗机构,4,北京市海淀区学院路30号,116.358721,39.988013,ok
北京理工大学社区卫生服务中心（北京理工大学医院）,海淀区中关村南大街5号,100081,110108,海淀区,国有全资,非营利性医疗机构,5,北京市海淀区中关村南大街5号,116.309312,39.959347,ok
北京林业大学社区卫生服务中心（北京林业大学医院）,北京市海淀区清华东路35号,100083,110108,海淀区,国有全资,非营利性医疗机构,6,北京市海淀区清华东路35号,116.339121,40.001829,ok
北京师范大学社区卫生服务中心（北京师范大学医院）,北京市海淀区新街口外大街19号,100875,110108,海淀区,国有全资,非营利性医疗机构,7,北京市海淀区新街口外大街19号,116.360081,39.960195,ok
北京市海淀区八里庄街道北洼西里社区卫生服务站,北京市海淀区北洼西里双紫小区甲29-9、甲29-10、甲29-11、甲29-12、甲29-13,100089,110108,海淀区,国有全资,非营利性医疗机构,8,北京市海淀区北洼西里双紫小区甲29-9、甲29-10、甲29-11、甲29-12、甲29-13,116.292919,39.938378,ok
北京市海淀区八里庄街道定慧寺社区卫生服务站,北京市海淀区八里庄定慧北里27号楼5门102,100142,110108,海淀区,国有全资,非营利性医疗机构,9,北京市海淀区八里庄定慧北里27号楼5门102,116.274395,39.925641,ok
北京市海淀区八里庄街道核二院社区卫生服务站,北京市海淀区马神庙一号,100840,110108,海淀区,集体全资,非营利性医疗机构,10,北京市海淀区马神庙一号,116.300683,39.925067,ok
北京市海淀区八里庄街道亮甲店社区卫生服务站,北京市海淀区定慧家园北里（八里庄路63号院）2号楼首层,100142,110108,海淀区,集体全资,非营利性医疗机构,11,北京市海淀区定慧家园北里（八里庄路63号院）2号楼首层,116.270905,39.927725,ok
北京市海淀区八里庄社区卫生服务中心（北京市海淀区八里庄医院）,北京市海淀区阜外亮甲店1号恩济西园10号楼首层,100142,110108,海淀区,国有全资,非营利性医疗机构,12,北京市海淀区阜外亮甲店1号恩济西园10号楼首层,116.275309,39.930555,ok
北京市海淀区北安河社区卫生服务中心（北安河卫生院）,北京市海淀区北安河路8号,100095,110108,海淀区,国有全资,非营利性医疗机构,13,北京市海淀区北安河路8号,116.117493,40.05909,ok
北京市海淀区北太平庄街道明光村社区卫生服务站,海淀区明光村小区19号楼1号,100088,110108,海淀区,集体全资,非营利性医疗机构,14,北京市海淀区明光村小区19号楼1号,116.34796,39.954063,ok
北京市海淀区北太平庄街道太月园社区卫生服务站,海淀区太月园小区10号楼地下一层,100088,110108,海淀区,国有全资,非营利性医疗机构,15,北京市海淀区太月园小区10号楼地下一层,116.340065,39.971952,ok
北京市海淀区北太平庄街道冶建院社区卫生服务站,北京市海淀区西土城路31号,100088,110108,海淀区,国有全资,非营利性医疗机构,16,北京市海淀区西土城路31号,116.346493,39.962008,ok
北京市海淀区北太平庄街道有色金属研究总院社区卫生服务站,北京市海淀区新街口外大街3号,100088,110108,海淀区,国有全资,非营利性医疗机构,17,北京市海淀区新街口外大街3号,116.363405,39.964581,ok
北京市海淀区北太平庄社区卫生服务中心（北京市海淀区北太平庄医院）,北京市海淀区文慧园6号楼,100088,110108,海淀区,国有全资,非营利性医疗机构,18,北京市海淀区文慧园6号楼,116.357077,39.94942,ok
北京市海淀区北下关街道动物园社区卫生服务站,北京市海淀区北下关西外大街太平庄动物园家委会,100081,110108,海淀区,国有全资,非营利性医疗机构,19,北京市海淀区北下关西外大街太平庄动物园家委会,116.350922,39.95053,ok
北京市海淀区北下关街道钢研社区卫生服务站,北京市海淀区高粱斜街13号院内二层小楼,100081,110108,海淀区,国有全资,非营利性医疗机构,20,北京市海淀区高粱斜街13号院内二层小楼,116.339783,39.943886,ok
北京市海淀区北下关街道青云社区卫生服务站,北京市海淀区北三环西路40号,100086,110108,海淀区,国有全资,非营利性医疗机构,21,北京市海淀区北三环西路40号,116.320904,39.964264,ok
北京市海淀区北下关街道双安社区卫生服务站,北京市海淀区双榆树南里二里3号平房,100086,110108,海淀区,国有全资,非营利性医疗机构,22,北京市海淀区双榆树南里二里3号平房,116.323455,39.964146,ok
北京市海淀区北下关街道皂君庙社区卫生服务站,北京市海淀区学院南路皂君东里,100081,110108,海淀区,集体全资,非营利性医疗机构,23,北京市海淀区学院南路皂君东里,116.330916,39.95804,ok
北京市海淀区北下关街道中国铁道科学研究院社区卫生服务站,北京市海淀区西直门外大柳树路2号,100081,110108,海淀区,国有全资,非营利性医疗机构,24,北京市海淀区西直门外大柳树路2号,116.334795,39.955274,ok
北京市海淀区北下关街道中央财经大学社区卫生服务站,海淀区学院南路39号院,100081,110108,海淀区,国有全资,非营利性医疗机构,25,北京市海淀区学院南路39号院,116.338436,39.956992,ok
北京市海淀区北下关社区卫生服务中心（北京市海淀区北下关医院）,北京市海淀区北下关财院东侧路,100081,110108,海淀区,国有全资,非营利性医疗机构,26,北京市海淀区北下关财院东侧路,116.332566,39.954642,ok
北京市海淀区东升镇八家嘉园社区卫生服务站,北京市海淀区东升镇八家嘉园19号楼地上一层,100085,110108,海淀区,国有全资,非营利性医疗机构,27,北京市海淀区东升镇八家嘉园19号楼地上一层,116.339145,40.014781,ok
北京市海淀区东升镇宝盛里社区卫生服务站,北京市海淀区观林园B35号楼首层东侧,100192,110108,海淀区,国有全资,非营利性医疗机构,28,北京市海淀区观林园B35号楼首层东侧,116.366965,40.03756,ok
北京市海淀区东升镇社区卫生服务中心（北京市海淀区东升卫生院）,北京市海淀区东升镇潘庄村西路,100192,110108,海淀区,集体全资,非营利性医疗机构,29,北京市海淀区东升镇潘庄村西路,116.328018,39.993782,ok
北京市海淀区东升镇朱房前街社区卫生服务站,北京市海淀区清河朱房前街4号院,100192,110108,海淀区,国有全资,非营利性医疗机构,30,北京市海淀区清河朱房前街4号院,116.322508,40.025616,ok
北京市海淀区甘家口街道财政局社区卫生服务站,北京市海淀区阜成路11号145栋一层101-109,100036,110108,海淀区,国有全资,非营利性医疗机构,31,北京市海淀区阜成路11号145栋一层101-109,116.312672,39.924526,ok
北京市海淀区甘家口街道阜南社区卫生服务站,海淀区阜成路南街8号,100037,110108,海淀区,集体全资,非营利性医疗机构,32,北京市海淀区阜成路南街8号,116.297676,39.922637,ok
北京市海淀区甘家口街道航天工业社区卫生服务站,北京市海淀区阜成路8号,100830,110108,海淀区,国有全资,非营利性医疗机构,33,北京市海淀区阜成路8号,116.310788,39.920613,ok
北京市海淀区甘家口街道合建楼社区卫生服务站,海淀区车公庄西路45号,100044,110108,海淀区,集体全资,非营利性医疗机构,34,北京市海淀区车公庄西路45号,116.305576,39.932259,ok
北京市海淀区甘家口街道花园村社区卫生服务站,海淀区车公庄西路花园村甲10号,100044,110108,海淀区,集体全资,非营利性医疗机构,35,北京市海淀区车公庄西路花园村甲10号,116.309263,39.930267,ok
北京市海淀区甘家口街道进口社区卫生服务站,海淀区三里河路5号院,100044,110108,海淀区,集体全资,非营利性医疗机构,36,北京市海淀区三里河路5号院,116.324687,39.933534,ok
北京市海淀区甘家口街道潘庄社区卫生服务站,北京市海淀区潘庄1号院附属服务楼一层,100048,110108,海淀区,国有全资,非营利性医疗机构,37,北京市海淀区潘庄1号院附属服务楼一层,116.2639,39.907054,ok
北京市海淀区甘家口街道水科院北院社区卫生服务站,北京市海淀区车公庄西路20号,100044,110108,海淀区,国有全资,非营利性医疗机构,38,北京市海淀区车公庄西路20号,116.3168,39.929937,ok
北京市海淀区甘家口街道外文社区卫生服务站,海淀区紫竹院南路20号外文印刷厂宿舍,100044,110108,海淀区,集体全资,非营利性医疗机构,39,北京市海淀区紫竹院南路20号外文印刷厂宿舍,116.314776,39.933492,ok
北京市海淀区甘家口街道西钓社区卫生服务站,北京市海淀区西三环中路11号,100142,110108,海淀区,国有全资,非营利性医疗机构,40,北京市海淀区西三环中路11号,116.301011,39.918129,ok
北京市海淀区甘家口社区卫生服务中心（北京市海淀区甘家口医院）,北京市海淀区增光路甲57号,100037,110108,海淀区,国有全资,非营利性医疗机构,41,北京市海淀区增光路甲57号,116.32383,39.926075,ok
北京市海淀区海淀街道小南庄社区卫生服务站,北京市海淀区小南庄小区31号楼,100086,110108,海淀区,国有全资,非营利性医疗机构,42,北京市海淀区小南庄小区31号楼,116.297976,39.966656,ok
北京市海淀区海淀街道芙蓉里社区卫生服务站,北京市海淀区万泉路芙蓉里小区7号楼一层,100080,110108,海淀区,国有全资,非营利性医疗机构,43,北京市海淀区万泉路芙蓉里小区7号楼一层,116.294601,39.987372,ok
北京市海淀区海淀乡功德寺社区卫生服务站,北京市海淀区海淀乡功德寺后营村六间房,100092,110108,海淀区,国有全资,非营利性医疗机构,44,北京市海淀区海淀乡功德寺后营村六间房,116.296914,39.968511,ok
北京市海淀区海淀镇社区卫生服务中心（北京市海淀区海淀卫生院）,海淀区西苑操场108号,100091,110108,海淀区,国有全资,非营利性医疗机构,45,北京市海淀区西苑操场108号,116.28652,39.992087,ok
