机构名称,地址,邮政编码,区县代码,区县名称,经济类型名称,机构管理名称
北方工业大学社区卫生服务中心,北京市石景山区晋元庄路5号,100144,110107,石景山区,国有全资,非营利性医疗机构
北京大学医学部社区卫生服务中心,北京市海淀区学院路38号,100191,110108,海淀区,国有全资,非营利性医疗机构
北京航空航天大学社区卫生服务中心（北京航空航天大学医院）,北京市海淀区学院路37号,100191,110108,海淀区,国有全资,非营利性医疗机构
北京交通大学社区卫生服务中心（北京交通大学医院）,北京市海淀区西直门外上园村3号,100044,110108,海淀区,国有全资,非营利性医疗机构
北京交通职业技术学院社区卫生服务站,北京市昌平区邓庄村东北京交通职业技术学院5号楼1层,102200,110114,昌平区,国有全资,非营利性医疗机构
北京经济技术开发区经开企业大道园区社区卫生服务站,北京经济技术开发区景园北街2号59号楼1层,100076,110115,大兴区,国有全资,非营利性医疗机构
北京经济技术开发区林肯公园社区卫生服务站,北京经济技术开发区文化园西路8号院21号楼102室,100076,110115,大兴区,国有全资,非营利性医疗机构
北京经济技术开发区天宝园五里一区社区卫生服务站,北京经济技术开发区天宝园五里一区,100176,110115,大兴区,国有全资,非营利性医疗机构
北京科技大学社区卫生服务中心（北京科技大学医院）,海淀区学院路30号,100083,110108,海淀区,国有全资,非营利性医疗机构
北京理工大学社区卫生服务中心（北京理工大学医院）,海淀区中关村南大街5号,100081,110108,海淀区,国有全资,非营利性医疗机构
北京林业大学社区卫生服务中心（北京林业大学医院）,北京市海淀区清华东路35号,100083,110108,海淀区,国有全资,非营利性医疗机构
北京密云鼓楼街道太扬家园社区卫生服务站,北京市密云区蓝河湾37号楼1层101室南侧,101500,110228,密云区,私有,非营利性医疗机构
北京师范大学社区卫生服务中心（北京师范大学医院）,北京市海淀区新街口外大街19号,100875,110108,海淀区,国有全资,非营利性医疗机构
北京市昌平区百善社区卫生服务中心,北京市昌平区百善镇百善村西,102211,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区百善社区卫生服务中心孟祖社区卫生服务站,北京市昌平区百善镇孟祖村,102211,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区百善社区卫生服务中心上东廓社区卫生服务站,北京市昌平区百善镇上东廓村,102211,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区百善社区卫生服务中心狮子营社区卫生服务站,北京市昌平区百善镇狮子营村,102211,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区北七家社区卫生服务中心,北京市昌平区北七家镇定泗路北侧,102209,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区北七家社区卫生服务中心北七佳园社区卫生服务站,北京市昌平区北七家镇北七佳园9号楼2层201室,102209,110114,昌平区,集体全资,非营利性医疗机构
北京市昌平区北七家社区卫生服务中心东沙社区卫生服务站,北京市昌平区北七家镇东沙各庄村委会院内,102209,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区北七家社区卫生服务中心宏福苑社区卫生服务站,北京温都水城旅游饭店管理有限公司金手杖会所一层（北侧底商门面房）,102209,110114,昌平区,集体全资,非营利性医疗机构
北京市昌平区北七家社区卫生服务中心岭上社区卫生服务站,北京市昌平区北七家镇岭上村,102209,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区北七家社区卫生服务中心名佳花园社区卫生服务站,北京市昌平区北七家镇名佳花园小区1号楼412室,102209,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区北七家社区卫生服务中心平西府社区卫生服务站,北京市昌平区北七家镇白庙村,102209,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区北七家社区卫生服务中心温泉花园社区卫生服务站,北京市昌平区北七家镇温泉花园小区A区6号楼,102209,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区北七家社区卫生服务中心燕丹社区卫生服务站,北京市昌平区北七家镇燕丹村,102209,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区城北街道朝凤社区卫生服务站,北京市昌平区朝凤庵村,102200,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区城北街道一街社区卫生服务站,北京市昌平区昌平镇石坊院5号楼2单元一层,102200,110114,昌平区,私有,非营利性医疗机构
北京市昌平区城南街道水屯社区卫生服务站,北京市昌平区城南街道水屯村,102200,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区城南街道拓然家苑社区卫生服务站,北京市昌平区城南街道拓然家苑,102200,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区城区八街社区卫生服务站,昌平区城区西环路16号,102200,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区城区畅椿阁社区卫生服务站,北京市昌平区龙水路38号院6号楼首层101号、105号、106号,102200,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区城区东关南里社区卫生服务站,昌平区昌平镇东关南里小区26号楼1—3层商业,102200,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区城区二街社区卫生服务站,北京市昌平区昌平镇雅馨家园14号楼1至2层,102200,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区城区郝庄社区卫生服务站,北京市昌平区郝庄家园东区,102200,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区城区宁馨苑社区卫生服务站,北京市昌平区昌平镇宁馨苑13号楼1至2层商6,102200,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区城区社区卫生服务中心,北京市昌平区城北街道南环里53号,102200,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区城区西关社区卫生服务站,北京市昌平区城角西路红冶宿舍楼北侧西关村委会,102200,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区城区永安社区卫生服务站,北京市昌平区城区永安里小区,102200,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区城区园区社区卫生服务站,北京市昌平城区镇水关新村26号楼富康路5-1号,102200,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区崔村社区卫生服务中心,北京市昌平区崔村镇政府街,102212,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区崔村社区卫生服务中心八家社区卫生服务站,北京市昌平区崔村镇八家村,102212,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区崔村社区卫生服务中心大辛峰社区卫生服务站,北京市昌平区崔村镇大辛峰村,102212,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区崔村社区卫生服务中心麻峪社区卫生服务站,北京市昌平区崔村镇麻峪村,102212,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区崔村社区卫生服务中心南庄营社区卫生服务站,北京市昌平区崔村镇南庄营村,102212,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区崔村社区卫生服务中心西辛峰社区卫生服务站,北京市昌平区崔村镇西辛峰村,102212,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区崔村社区卫生服务中心香堂社区卫生服务站,北京市昌平区崔村镇香堂村,102212,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区东小口社区卫生服务中心,北京市昌平区东小口陈营村北,100192,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区东小口社区卫生服务中心九台都市社区卫生服务站,北京市昌平区东小口镇九台庄园居委会北侧,100085,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区东小口社区卫生服务中心流星花园社区卫生服务站,北京市昌平区东小口镇流星花园9号楼,100085,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区东小口社区卫生服务中心上坡佳园社区卫生服务站,北京市昌平区东小口镇黄平路202号院7号楼底商,102218,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区东小口社区卫生服务中心天通西苑社区卫生服务站,北京市昌平区东小口镇天通西苑一区42号楼,100085,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区东小口社区卫生服务中心天通苑北三区社区卫生服务站,北京市昌平区东小口镇北三区6号楼2单元102,100085,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区东小口社区卫生服务中心天通苑北一区社区卫生服务站,北京市昌平区东小口镇天通苑北一区13号楼,100096,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区东小口社区卫生服务中心天通苑东二区社区卫生服务站,北京市昌平区东小口镇天通苑东二区19号楼10门,102218,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区东小口社区卫生服务中心天通苑东三区社区卫生服务站,北京市昌平区东小口镇天通苑东三区36号楼2门,102209,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区东小口社区卫生服务中心天通苑二区社区卫生服务站,北京市昌平区东小口镇天通苑二区14号楼2门,100085,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区东小口社区卫生服务中心天通苑三区社区卫生服务站,北京市昌平区东小口镇天通苑三区5号楼,100085,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区东小口社区卫生服务中心天通苑西二区社区卫生服务站,北京市昌平区东小口镇天通苑西二区12号楼,100085,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区东小口社区卫生服务中心天通苑西三区社区卫生服务站,北京市昌平区东小口镇天通苑西三区26号楼7门,102218,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区东小口社区卫生服务中心西一区社区卫生服务站,北京市昌平区天通苑西一区22号楼1门101,102218,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区东小口社区卫生服务中心溪城家园社区卫生服务站,北京市昌平区东小口镇陈家营西路1号院5号楼,102218,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区回龙观社区卫生服务中心,北京市昌平区回龙观镇政府东侧、北京市昌平区回龙观小区龙锦二街90号、北京市昌平区回龙观龙跃街10号院3号楼,100096,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区回龙观社区卫生服务中心北店嘉园社区卫生服务站,北京市昌平区回龙观镇北店嘉园底商1号,100085,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区回龙观社区卫生服务中心北京人家社区卫生服务站,北京市昌平区回龙观镇北京人家1号楼1门101、102室,100085,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区回龙观社区卫生服务中心昌艺园社区卫生服务站,北京市昌平区回龙观镇昌艺园小区,100085,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区回龙观社区卫生服务中心东村家园社区卫生服务站,北京市昌平区回龙观镇东村家园东门,100085,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区回龙观社区卫生服务中心二拨子社区卫生服务站,北京市昌平区回龙观镇二拨子新村村委会西侧,100085,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区回龙观社区卫生服务中心风雅园社区卫生服务站,北京市昌平区回龙观镇风雅园一区18号楼,100085,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区回龙观社区卫生服务中心回龙观村社区卫生服务站,北京市昌平区回龙观镇回龙观村,100085,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区回龙观社区卫生服务中心龙博苑社区卫生服务站,北京市昌平区回龙观镇龙博苑二区底商5、6号,100085,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区回龙观社区卫生服务中心龙城花园社区卫生服务站,北京市昌平区回龙观龙城花园小区综合楼1层,100085,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区回龙观社区卫生服务中心龙华园社区卫生服务站,北京市昌平区回龙观龙华园一区1号楼1单元161室,100096,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区回龙观社区卫生服务中心龙腾苑社区卫生服务站,北京市昌平区回龙观镇龙腾苑三区2号楼2单元101室,100085,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区回龙观社区卫生服务中心龙腾苑四区社区卫生服务站,北京市昌平区回龙观镇龙腾苑四区底商4、5号,100085,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区回龙观社区卫生服务中心龙跃苑社区卫生服务站,北京市昌平区回龙观镇龙跃苑三区底商2号,100085,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区回龙观社区卫生服务中心南店社区卫生服务站,北京市昌平区回龙观镇南店村委会东侧,100085,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区回龙观社区卫生服务中心融泽嘉园社区卫生服务站,北京市昌平区回龙观龙域东一路8号院1号楼,102209,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区回龙观社区卫生服务中心通达园社区卫生服务站,北京市昌平区回龙观镇通达园小区居委会,100085,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区回龙观社区卫生服务中心云趣园三区社区卫生服务站,北京市昌平区回龙观镇云趣园三区11号楼,100085,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区回龙观社区卫生服务中心朱辛庄社区卫生服务站,北京市昌平区回龙观镇朱辛庄村,100085,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区流村社区卫生服务中心,北京市昌平区流村镇北流村,102204,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区流村社区卫生服务中心北流村社区卫生服务站,北京市昌平区流村镇北流村,102204,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区流村社区卫生服务中心发电站社区卫生服务站,北京市昌平区流村镇发电站村东台下坎,102204,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区流村社区卫生服务中心高崖口社区卫生服务站,北京市昌平区流村镇高崖口村,102204,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区流村社区卫生服务中心黑寨社区卫生服务站,北京市昌平区流村镇黑寨村老村委会院内,102204,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区流村社区卫生服务中心老峪沟社区卫生服务站,北京市昌平区流村镇老峪沟村,102204,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区流村社区卫生服务中心马刨泉社区卫生服务站,北京市昌平区流村镇马刨泉村,102204,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区流村社区卫生服务中心南流村社区卫生服务站,北京市昌平区流村镇南流村,102204,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区流村社区卫生服务中心菩萨鹿社区卫生服务站,北京市昌平区流村镇菩萨鹿村村委会院内,102204,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区流村社区卫生服务中心漆园社区卫生服务站,北京市昌平区流村镇漆园村,102204,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区流村社区卫生服务中心西峰山社区卫生服务站,北京市昌平区流村镇西峰山村,102204,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区流村社区卫生服务中心新村社区卫生服务站,北京市昌平区流村镇新村,102204,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区马池口社区卫生服务中心,北京市昌平区马池口镇北小营村,102202,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区马池口社区卫生服务中心东坨社区卫生服务站,北京市昌平区马池口镇东坨,102202,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区马池口社区卫生服务中心横桥社区卫生服务站,北京市昌平区马池口镇横桥,102202,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区马池口社区卫生服务中心马池口社区卫生服务站,北京市昌平区马池口镇马池口村北,102202,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区马池口社区卫生服务中心南车社区卫生服务站,北京市昌平火车站西念头,102200,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区马池口社区卫生服务中心上念头社区卫生服务站,北京市昌平区马池口镇上念头村,102202,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区马池口社区卫生服务中心土楼社区卫生服务站,北京市昌平区马池口镇土楼村,102202,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区马池口社区卫生服务中心丈头社区卫生服务站,北京市昌平区马池口镇丈头,102200,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区南口社区卫生服务中心,北京市昌平区南口镇兴隆街3号,102202,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区南口社区卫生服务中心桃洼社区卫生服务站,北京市昌平区南口镇后桃洼村122号,102202,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区南口镇第一社区卫生服务站,北京市昌平区南口镇交通街头103号,102202,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区南口镇花塔社区卫生服务站,北京市昌平区南口镇花塔村,102202,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区南口镇龙虎台社区卫生服务站,北京市昌平区南口镇龙虎台村,102202,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区南口镇马庄村社区卫生服务站,北京市昌平区南口马庄村,102202,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区南口镇南口村社区卫生服务站,北京市昌平区南口镇南口村,102202,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区南邵社区卫生服务中心,北京市昌平区南邵镇南邵村东,102200,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区南邵社区卫生服务中心北郡嘉源社区卫生服务站,北京市昌平区南邵镇北郡嘉源居住小区行政楼一层北侧,102200,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区南邵社区卫生服务中心姜屯社区卫生服务站,北京市昌平区南邵镇姜屯村,102200,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区南邵社区卫生服务中心营坊社区卫生服务站,北京市昌平区南邵镇营坊,102200,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区沙河高教园区社区卫生服务中心,北京市昌平区沙河镇高教园北四街5号12号楼,102206,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区沙河社区卫生服务中心,北京市昌平区沙河镇展思门路5号,102206,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区沙河社区卫生服务中心白各庄社区卫生服务站,北京市昌平区沙河镇白各庄新村物业楼东楼一层,102206,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区沙河社区卫生服务中心北街家园社区卫生服务站,北京市昌平区沙河高教园区北街家园六区5号楼105.106.107.108号,102206,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区沙河社区卫生服务中心踩河社区卫生服务站,北京市昌平区沙河镇踩河村,102206,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区沙河社区卫生服务中心老牛湾社区卫生服务站,北京市昌平区沙河镇老牛湾村,102206,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区沙河社区卫生服务中心七里渠社区卫生服务站,北京市昌平区沙河镇七里渠村,102206,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区沙河社区卫生服务中心沙阳路社区卫生服务站,北京市昌平区沙河沙阳路,102206,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区沙河社区卫生服务中心松兰堡社区卫生服务站,北京市昌平区沙河镇松兰堡村,102206,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区沙河社区卫生服务中心五福家园社区卫生服务站,北京市昌平区沙河镇五福家园,102206,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区沙河社区卫生服务中心兆丰家园社区卫生服务站,北京市昌平区沙河高教园兆丰家园西区12-1,102206,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区十三陵社区卫生服务中心,北京市昌平区十三陵镇胡庄村,102200,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区十三陵社区卫生服务中心北新村社区卫生服务站,北京市昌平区十三陵镇北新村,102200,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区十三陵社区卫生服务中心涧头社区卫生服务站,北京市昌平区十三陵镇涧头村,102200,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区十三陵社区卫生服务中心南新村社区卫生服务站,北京市昌平区十三陵镇南新村,102200,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区十三陵社区卫生服务中心泰陵园社区卫生服务站,北京市昌平区十三陵镇泰陵园村,102200,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区小汤山社区卫生服务中心,北京市昌平区小汤山镇小汤山村村南,102211,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区小汤山社区卫生服务中心大东流社区卫生服务站,北京市昌平区小汤山镇大东流村,102211,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区小汤山社区卫生服务中心后吝沟社区卫生服务站,北京市昌平区小汤山镇后吝沟村,102211,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区小汤山社区卫生服务中心葫芦河社区卫生服务站,北京市昌平区小汤山镇葫芦河村北,102211,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区小汤山社区卫生服务中心龙脉温泉花园小区社区卫生服务站,北京市昌平区小汤山龙脉花园21号楼6门底商,102211,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区小汤山社区卫生服务中心尚信社区卫生服务站,北京市昌平区小汤山镇尚信村,102211,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区小汤山社区卫生服务中心土沟新村家园社区卫生服务站,北京市昌平区小汤山镇土沟村,102211,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区小汤山社区卫生服务中心西官庄社区卫生服务站,北京市昌平区小汤山镇西官庄村,102211,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区兴寿社区卫生服务中心,北京市昌平区兴寿镇兴寿村,102212,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区兴寿社区卫生服务中心百合社区卫生服务站,北京市昌平区兴寿镇百合村,102212,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区兴寿社区卫生服务中心东营社区卫生服务站,北京市昌平区兴寿镇东营村,102212,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区兴寿社区卫生服务中心秦城社区卫生服务站,北京市昌平区兴寿镇秦城村,102212,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区兴寿社区卫生服务中心上西市社区卫生服务站,北京市昌平区兴寿镇上西市村,102212,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区兴寿社区卫生服务中心上苑社区卫生服务站,北京市昌平区兴寿镇秦家屯村,102212,110114,昌平区,国有全资,非营利性医疗机构
